variable_nueva,codigo_eam,descripcion,base,pct_na_2022,pct_cero_2022
activos_fijos_activfi,ACTIVFI,Activos Fijos,establecimiento,0,0.99
activos_nuevos_c7c7r2,C7C7R2,Total Valor compra de activos - nuevos,establecimiento,0,37.8
activos_recibidos_c7r18c7,C7R18C7,Total Valor de los activos recibidos en el año por traslado de otros establecimi,establecimiento,0,94.11
activos_trasladados_c7r17c7,C7R17C7,Total Valor de los activos trasladados en el año a otros establecimientos de la,establecimiento,0,95.63
activos_usados_c7c7r3,C7C7R3,Total Valor compra de activos - Usados,establecimiento,0,86.13
administrativos_permanentes,"suma(C4R2C3,C4R2C4)",Variable construida (suma de un grupo de columnas C4R) -- ver comentario en ampliar_variables_paneles.R,establecimiento,0,12.4
administrativos_total,"suma(C4R2C3,C4R2C4,C4R3C3,C4R3C4,C4R4C3,C4R4C4,C4R6DM,C4R6DH)",Variable construida (suma de un grupo de columnas C4R) -- ver comentario en ampliar_variables_paneles.R,establecimiento,0,5.45
agencias_personal_temporal_administrativos_c3r8c2,C3R8C2,Valor causado por las empresas que suministran personal temporal al establecimie,establecimiento,0,75.28
agencias_personal_temporal_obreros_c3r8c1,C3R8C1,Valor causado por las empresas que suministran personal temporal al establecimie,establecimiento,0,66.94
agencias_personal_temporal_profesionales_c3r8pt,C3R8PT,Valor causado por las empresas que suministran personal temporal al establecimie,establecimiento,0,83.03
agencias_personal_temporal_total_c3r8c3,C3R8C3,Total  Valor causado por las empresas que suministran personal temporal al estab,establecimiento,0,64.18
agua_c3r21c3,C3R21C3,Total Servicio de agua,establecimiento,0,1.99
aportes_nomina_administrativos_c3r6c2,C3R6C2,"Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)  - Administrat",establecimiento,0,7.04
aportes_nomina_obreros_c3r6c1,C3R6C1,"Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)  - Producción",establecimiento,0,6.05
aportes_nomina_profesionales_c3r6pt,C3R6PT,"Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)  - Producción",establecimiento,0,35.51
aportes_nomina_total_c3r6c3,C3R6C3,"Total  Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)",establecimiento,0,2.1
apoyo_sostenimiento_aprendices_r4csap,R4CSAP,Total  Valor del apoyo de sostenimiento causado por los aprendices y pasantes  (,establecimiento,0,41
aprendices,"suma(C4R6OM,C4R6OH,C4R6DM,C4R6DH,C4R6MN,C4R6HN,C4R6ME,C4R6HE)",Variable construida (suma de un grupo de columnas C4R) -- ver comentario en ampliar_variables_paneles.R,establecimiento,0,43.79
arriendo_inmuebles_c3r16c3,C3R16C3,Total  Arrendamiento de bienes inmuebles,establecimiento,0,23.76
arriendo_maquinaria_administracion_c3r17c2,C3R17C2,Arrendamiento sin opción  de compra de maquinaria y equipo - Administración y ve,establecimiento,0,70.85
arriendo_maquinaria_produccion_c3r17c1,C3R17C1,Arrendamiento sin opción  de compra de maquinaria y equipo - producción,establecimiento,0,67.23
