medida,variable,beta,con_tendencia,n_obs,termino_regresion,estimate,std_error,p_value,significativo
Exposure2022_obreros_est,empleo_total,beta1,FALSE,58885,post_2023:exposicion_10pp,0.464138,0.343006,0.1761,FALSE
Exposure2022_obreros_est,empleo_total,beta2,FALSE,58885,post_2023:exposicion_10pp:Multi_f,0.301714,1.166033,0.7958,FALSE
Exposure2022_obreros_est,empleo_total,beta3,FALSE,58885,post_2023:Multi_f,-4.180204,6.814626,0.5396,FALSE
Exposure2022_obreros_est,empleo_total,beta1,TRUE,58885,post_2023:exposicion_10pp,-0.1546,0.320757,0.6298,FALSE
Exposure2022_obreros_est,empleo_total,beta2,TRUE,58885,post_2023:exposicion_10pp:Multi_f,0.802045,1.176665,0.4955,FALSE
Exposure2022_obreros_est,empleo_total,beta3,TRUE,58885,post_2023:Multi_f,-2.818725,7.914292,0.7217,FALSE
Exposure2022_obreros_est,empleo_permanente,beta1,FALSE,58885,post_2023:exposicion_10pp,0.196199,0.26529,0.4596,FALSE
Exposure2022_obreros_est,empleo_permanente,beta2,FALSE,58885,post_2023:exposicion_10pp:Multi_f,0.797958,0.98098,0.416,FALSE
Exposure2022_obreros_est,empleo_permanente,beta3,FALSE,58885,post_2023:Multi_f,-6.547127,5.430613,0.228,FALSE
Exposure2022_obreros_est,empleo_permanente,beta1,TRUE,58885,post_2023:exposicion_10pp,0.309168,0.232256,0.1832,FALSE
Exposure2022_obreros_est,empleo_permanente,beta2,TRUE,58885,post_2023:exposicion_10pp:Multi_f,0.614756,0.955952,0.5202,FALSE
Exposure2022_obreros_est,empleo_permanente,beta3,TRUE,58885,post_2023:Multi_f,-1.317327,6.275943,0.8338,FALSE
Exposure2022_obreros_est,empleo_temporal,beta1,FALSE,58885,post_2023:exposicion_10pp,0.255592,0.226702,0.2596,FALSE
Exposure2022_obreros_est,empleo_temporal,beta2,FALSE,58885,post_2023:exposicion_10pp:Multi_f,-0.371128,0.730033,0.6112,FALSE
Exposure2022_obreros_est,empleo_temporal,beta3,FALSE,58885,post_2023:Multi_f,1.592788,4.532654,0.7253,FALSE
Exposure2022_obreros_est,empleo_temporal,beta1,TRUE,58885,post_2023:exposicion_10pp,-0.491476,0.224319,0.02849,TRUE
Exposure2022_obreros_est,empleo_temporal,beta2,TRUE,58885,post_2023:exposicion_10pp:Multi_f,0.09238,0.711826,0.8967,FALSE
Exposure2022_obreros_est,empleo_temporal,beta3,TRUE,58885,post_2023:Multi_f,-1.046329,5.048796,0.8358,FALSE
Exposure2022_obreros_est,participacion_permanente,beta1,FALSE,58856,post_2023:exposicion_10pp,-0.167346,0.151639,0.2698,FALSE
Exposure2022_obreros_est,participacion_permanente,beta2,FALSE,58856,post_2023:exposicion_10pp:Multi_f,0.0667,0.31776,0.8337,FALSE
Exposure2022_obreros_est,participacion_permanente,beta3,FALSE,58856,post_2023:Multi_f,0.841495,1.952924,0.6666,FALSE
Exposure2022_obreros_est,participacion_permanente,beta1,TRUE,58856,post_2023:exposicion_10pp,0.366129,0.139974,0.008926,TRUE
Exposure2022_obreros_est,participacion_permanente,beta2,TRUE,58856,post_2023:exposicion_10pp:Multi_f,-0.13485,0.315255,0.6688,FALSE
Exposure2022_obreros_est,participacion_permanente,beta3,TRUE,58856,post_2023:Multi_f,0.301947,1.959234,0.8775,FALSE
Bite2022_obreros,empleo_total,beta1,FALSE,49910,post_2023:bite_1sd,-1.368805,1.03176,0.1847,FALSE
