variable,term,anio,estimate,std.error,statistic,p.value,conf.low,conf.high,grupo_base_omitido
empleo_total,ANIO_F::2015:bite_1sd,2015,2.134406,1.551175,1.376,0.1689,-0.906562,5.175375,2022 (ref.)
empleo_total,ANIO_F::2016:bite_1sd,2016,2.353585,1.671258,1.4083,0.1591,-0.922799,5.629968,2022 (ref.)
empleo_total,ANIO_F::2017:bite_1sd,2017,3.336116,1.562235,2.1355,0.03277,0.273465,6.398767,2022 (ref.)
empleo_total,ANIO_F::2018:bite_1sd,2018,1.391617,1.437164,0.9683,0.3329,-1.425842,4.209077,2022 (ref.)
empleo_total,ANIO_F::2019:bite_1sd,2019,0.728464,1.227145,0.5936,0.5528,-1.677266,3.134195,2022 (ref.)
empleo_total,ANIO_F::2021:bite_1sd,2021,0.478081,1.054288,0.4535,0.6502,-1.588776,2.544939,2022 (ref.)
empleo_total,ANIO_F::2023:bite_1sd,2023,0.090249,1.04602,0.0863,0.9312,-1.960399,2.140897,2022 (ref.)
empleo_total,ANIO_F::2024:bite_1sd,2024,0.506689,1.199961,0.4223,0.6729,-1.84575,2.859128,2022 (ref.)
empleo_permanente,ANIO_F::2015:bite_1sd,2015,-1.749956,1.171925,-1.4932,0.1354,-4.047433,0.547521,2022 (ref.)
empleo_permanente,ANIO_F::2016:bite_1sd,2016,-1.573382,1.249501,-1.2592,0.208,-4.022941,0.876176,2022 (ref.)
empleo_permanente,ANIO_F::2017:bite_1sd,2017,-0.672359,1.246046,-0.5396,0.5895,-3.115145,1.770426,2022 (ref.)
empleo_permanente,ANIO_F::2018:bite_1sd,2018,-0.989848,1.054194,-0.939,0.3478,-3.056522,1.076826,2022 (ref.)
empleo_permanente,ANIO_F::2019:bite_1sd,2019,-1.031047,0.855741,-1.2049,0.2283,-2.708667,0.646573,2022 (ref.)
empleo_permanente,ANIO_F::2021:bite_1sd,2021,-0.371388,0.637264,-0.5828,0.5601,-1.6207,0.877923,2022 (ref.)
empleo_permanente,ANIO_F::2023:bite_1sd,2023,-0.150281,0.79221,-0.1897,0.8496,-1.703354,1.402791,2022 (ref.)
empleo_permanente,ANIO_F::2024:bite_1sd,2024,-0.419145,0.80911,-0.518,0.6045,-2.005348,1.167058,2022 (ref.)
empleo_temporal,ANIO_F::2015:bite_1sd,2015,3.68859,1.330334,2.7727,0.00558,1.080564,6.296616,2022 (ref.)
empleo_temporal,ANIO_F::2016:bite_1sd,2016,3.840473,1.243302,3.0889,0.00202,1.403067,6.277879,2022 (ref.)
empleo_temporal,ANIO_F::2017:bite_1sd,2017,3.868086,1.115107,3.4688,5.271e-4,1.681997,6.054175,2022 (ref.)
empleo_temporal,ANIO_F::2018:bite_1sd,2018,2.371617,0.98899,2.398,0.01652,0.432773,4.310461,2022 (ref.)
empleo_temporal,ANIO_F::2019:bite_1sd,2019,1.781318,0.841494,2.1169,0.03432,0.131629,3.431008,2022 (ref.)
empleo_temporal,ANIO_F::2021:bite_1sd,2021,0.817174,0.715233,1.1425,0.2533,-0.58499,2.219338,2022 (ref.)
empleo_temporal,ANIO_F::2023:bite_1sd,2023,0.225321,0.69369,0.3248,0.7453,-1.13461,1.585252,2022 (ref.)
empleo_temporal,ANIO_F::2024:bite_1sd,2024,0.916996,0.749528,1.2234,0.2212,-0.552402,2.386393,2022 (ref.)
participacion_permanente,ANIO_F::2015:bite_1sd,2015,-3.01023,0.836989,-3.5965,3.256e-4,-4.651089,-1.369372,2022 (ref.)
participacion_permanente,ANIO_F::2016:bite_1sd,2016,-2.661971,0.750433,-3.5472,3.928e-4,-4.133142,-1.1908,2022 (ref.)
participacion_permanente,ANIO_F::2017:bite_1sd,2017,-2.178826,0.753121,-2.8931,0.003831,-3.655267,-0.702386,2022 (ref.)
participacion_permanente,ANIO_F::2018:bite_1sd,2018,-2.004428,0.662549,-3.0253,0.002496,-3.303309,-0.705548,2022 (ref.)
participacion_permanente,ANIO_F::2019:bite_1sd,2019,-1.680845,0.562812,-2.9865,0.002835,-2.784199,-0.577491,2022 (ref.)
participacion_permanente,ANIO_F::2021:bite_1sd,2021,-0.756214,0.421705,-1.7932,0.073,-1.582937,0.070508,2022 (ref.)
participacion_permanente,ANIO_F::2023:bite_1sd,2023,-0.423885,0.445858,-0.9507,0.3418,-1.297957,0.450187,2022 (ref.)
participacion_permanente,ANIO_F::2024:bite_1sd,2024,-0.672149,0.420347,-1.599,0.1099,-1.49621,0.151912,2022 (ref.)
