variable,term,anio,estimate,std.error,statistic,p.value,conf.low,conf.high,grupo_base_omitido
empleo_total,ANIO_F::2015:exposicion_10pp,2015,-0.456109,0.470226,-0.97,0.3321,-1.377916,0.465697,2022 (ref.)
empleo_total,ANIO_F::2016:exposicion_10pp,2016,-1.022837,0.483764,-2.1143,0.03453,-1.971184,-0.074491,2022 (ref.)
empleo_total,ANIO_F::2017:exposicion_10pp,2017,-1.099153,0.4725,-2.3263,0.02004,-2.025417,-0.172889,2022 (ref.)
empleo_total,ANIO_F::2018:exposicion_10pp,2018,-0.580764,0.415725,-1.397,0.1625,-1.39573,0.234202,2022 (ref.)
empleo_total,ANIO_F::2019:exposicion_10pp,2019,-0.424747,0.39876,-1.0652,0.2868,-1.206456,0.356962,2022 (ref.)
empleo_total,ANIO_F::2021:exposicion_10pp,2021,-0.081414,0.274162,-0.297,0.7665,-0.618868,0.45603900000000003,2022 (ref.)
empleo_total,ANIO_F::2023:exposicion_10pp,2023,-0.068827,0.267812,-0.257,0.7972,-0.593831,0.456178,2022 (ref.)
empleo_total,ANIO_F::2024:exposicion_10pp,2024,0.161407,0.426653,0.3783,0.7052,-0.674982,0.997795,2022 (ref.)
empleo_permanente,ANIO_F::2015:exposicion_10pp,2015,0.187253,0.360624,0.5192,0.6036,-0.519695,0.894202,2022 (ref.)
empleo_permanente,ANIO_F::2016:exposicion_10pp,2016,-0.119588,0.374562,-0.3193,0.7495,-0.853861,0.614684,2022 (ref.)
empleo_permanente,ANIO_F::2017:exposicion_10pp,2017,-0.26219,0.359442,-0.7294,0.4658,-0.966821,0.442442,2022 (ref.)
empleo_permanente,ANIO_F::2018:exposicion_10pp,2018,-0.184158,0.290188,-0.6346,0.5257,-0.753028,0.384711,2022 (ref.)
empleo_permanente,ANIO_F::2019:exposicion_10pp,2019,0.149049,0.297585,0.5009,0.6165,-0.434321,0.732419,2022 (ref.)
empleo_permanente,ANIO_F::2021:exposicion_10pp,2021,-0.131939,0.165681,-0.7963,0.4259,-0.456732,0.192853,2022 (ref.)
empleo_permanente,ANIO_F::2023:exposicion_10pp,2023,0.338072,0.196084,1.7241,0.08474,-0.046321,0.722466,2022 (ref.)
empleo_permanente,ANIO_F::2024:exposicion_10pp,2024,0.356655,0.368949,0.9667,0.3337,-0.366614,1.079925,2022 (ref.)
empleo_temporal,ANIO_F::2015:exposicion_10pp,2015,-0.714243,0.365123,-1.9562,0.05049,-1.430011,0.001524,2022 (ref.)
empleo_temporal,ANIO_F::2016:exposicion_10pp,2016,-0.942455,0.354099,-2.6616,0.007798,-1.636613,-0.248298,2022 (ref.)
empleo_temporal,ANIO_F::2017:exposicion_10pp,2017,-0.87811,0.354465,-2.4773,0.01327,-1.572985,-0.183235,2022 (ref.)
empleo_temporal,ANIO_F::2018:exposicion_10pp,2018,-0.436433,0.312862,-1.395,0.1631,-1.049751,0.176885,2022 (ref.)
empleo_temporal,ANIO_F::2019:exposicion_10pp,2019,-0.57339,0.33855,-1.6937,0.09038,-1.237066,0.090286,2022 (ref.)
empleo_temporal,ANIO_F::2021:exposicion_10pp,2021,0.017337,0.243305,0.0713,0.9432,-0.459626,0.494299,2022 (ref.)
empleo_temporal,ANIO_F::2023:exposicion_10pp,2023,-0.427539,0.193642,-2.2079,0.02729,-0.807145,-0.047934,2022 (ref.)
empleo_temporal,ANIO_F::2024:exposicion_10pp,2024,-0.236815,0.255998,-0.9251,0.355,-0.738659,0.26503,2022 (ref.)
participacion_permanente,ANIO_F::2015:exposicion_10pp,2015,0.638606,0.234599,2.7221,0.006505,0.178711,1.098501,2022 (ref.)
participacion_permanente,ANIO_F::2016:exposicion_10pp,2016,0.635197,0.223154,2.8465,0.004435,0.197739,1.072656,2022 (ref.)
participacion_permanente,ANIO_F::2017:exposicion_10pp,2017,0.660254,0.219291,3.0109,0.002616,0.230368,1.090141,2022 (ref.)
participacion_permanente,ANIO_F::2018:exposicion_10pp,2018,0.554695,0.1982,2.7987,0.005147,0.166154,0.943236,2022 (ref.)
participacion_permanente,ANIO_F::2019:exposicion_10pp,2019,0.471186,0.178189,2.6443,0.008207,0.121874,0.820498,2022 (ref.)
participacion_permanente,ANIO_F::2021:exposicion_10pp,2021,0.195265,0.119795,1.63,0.1032,-0.039575,0.430104,2022 (ref.)
participacion_permanente,ANIO_F::2023:exposicion_10pp,2023,0.326042,0.11057,2.9487,0.003203,0.109287,0.542798,2022 (ref.)
participacion_permanente,ANIO_F::2024:exposicion_10pp,2024,0.232992,0.139964,1.6647,0.09603,-0.041386,0.50737,2022 (ref.)
