medida,variable,estimate,std_error,p_value,significativo,n_obs,con_tendencia
Exposure2022_obreros,asinh_C3R23C3,0.010349,0.01169,0.376,FALSE,54013,FALSE
Exposure2022_obreros,asinh_C3R23C3,0.003785,0.012881,0.7689,FALSE,54013,TRUE
Exposure2022_obreros,asinh_C3R41C3,0.013767,0.024406,0.5727,FALSE,54013,FALSE
Exposure2022_obreros,asinh_C3R41C3,0.032466,0.027408,0.2362,FALSE,54013,TRUE
Exposure2022_obreros,asinh_C7R10C2,-0.00518,0.026212,0.8433,FALSE,54013,FALSE
Exposure2022_obreros,asinh_C7R10C2,0.052788,0.032077,0.09988,FALSE,54013,TRUE
Exposure2022_obreros,asinh_VALORVEN,0.007009,0.003753,0.06183,FALSE,54013,FALSE
Exposure2022_obreros,asinh_VALORVEN,0.002002,0.003988,0.6157,FALSE,54013,TRUE
Bite2022_obreros,asinh_C3R23C3,-0.055237,0.024644,0.02504,TRUE,44627,FALSE
Bite2022_obreros,asinh_C3R23C3,0.070124,0.031826,0.02761,TRUE,44627,TRUE
Bite2022_obreros,asinh_C3R41C3,-0.060592,0.069417,0.3828,FALSE,44627,FALSE
Bite2022_obreros,asinh_C3R41C3,0.180732,0.068321,0.008186,TRUE,44627,TRUE
Bite2022_obreros,asinh_C7R10C2,-0.104637,0.074135,0.1582,FALSE,44627,FALSE
Bite2022_obreros,asinh_C7R10C2,0.148696,0.087135,0.08798,FALSE,44627,TRUE
Bite2022_obreros,asinh_VALORVEN,-0.036791,0.010447,4.324e-4,TRUE,44627,FALSE
Bite2022_obreros,asinh_VALORVEN,0.046155,0.012694,2.796e-4,TRUE,44627,TRUE
