DPTO,ANIO,n_establecimientos,en_panel_final
5,2015,1898,TRUE
5,2016,1822,TRUE
5,2017,1782,TRUE
5,2018,1719,TRUE
5,2019,1642,TRUE
5,2020,1579,FALSE
5,2021,1529,TRUE
5,2022,1478,TRUE
5,2023,1456,TRUE
5,2024,1426,TRUE
8,2015,367,TRUE
8,2016,352,TRUE
8,2017,336,TRUE
8,2018,330,TRUE
8,2019,314,TRUE
8,2020,301,FALSE
8,2021,295,TRUE
8,2022,281,TRUE
8,2023,280,TRUE
8,2024,290,TRUE
11,2015,3214,TRUE
11,2016,2928,TRUE
11,2017,2777,TRUE
11,2018,2652,TRUE
11,2019,2524,TRUE
11,2020,2411,FALSE
11,2021,2317,TRUE
11,2022,2135,TRUE
11,2023,2100,TRUE
11,2024,1998,TRUE
13,2015,147,TRUE
13,2016,139,TRUE
13,2017,132,TRUE
13,2018,130,TRUE
13,2019,122,TRUE
13,2020,128,FALSE
13,2021,125,TRUE
13,2022,121,TRUE
13,2023,125,TRUE
13,2024,125,TRUE
15,2015,82,TRUE
15,2016,77,TRUE
15,2017,77,TRUE
15,2018,74,TRUE
15,2019,74,TRUE
15,2020,72,FALSE
15,2021,70,TRUE
15,2022,71,TRUE
15,2023,70,TRUE
15,2024,70,TRUE
17,2015,156,TRUE
17,2016,143,TRUE
17,2017,143,TRUE
17,2018,138,TRUE
17,2019,137,TRUE
17,2020,134,FALSE
17,2021,132,TRUE
17,2022,125,TRUE
17,2023,122,TRUE
17,2024,113,TRUE
19,2015,95,TRUE
19,2016,91,TRUE
19,2017,90,TRUE
19,2018,86,TRUE
19,2019,86,TRUE
19,2020,85,FALSE
19,2021,84,TRUE
19,2022,81,TRUE
19,2023,80,TRUE
19,2024,80,TRUE
20,2015,35,TRUE
20,2016,33,TRUE
20,2017,32,TRUE
20,2018,29,TRUE
20,2019,33,TRUE
20,2020,30,FALSE
20,2021,29,TRUE
20,2022,28,TRUE
20,2023,28,TRUE
20,2024,27,TRUE
23,2015,26,TRUE
23,2016,29,TRUE
23,2017,26,TRUE
