DPTO,ANIO,n_establecimientos
5,2015,1898
5,2016,1822
5,2017,1782
5,2018,1719
5,2019,1642
5,2023,1456
8,2015,367
8,2016,352
8,2017,336
8,2018,330
8,2019,314
8,2023,280
11,2015,3214
11,2016,2928
11,2017,2777
11,2018,2652
11,2019,2524
11,2023,2100
13,2015,147
13,2016,139
13,2017,132
13,2018,130
13,2019,122
13,2023,125
15,2015,82
15,2016,77
15,2017,77
15,2018,74
15,2019,74
15,2023,70
17,2015,156
17,2016,143
17,2017,143
17,2018,138
17,2019,137
17,2023,122
19,2015,95
19,2016,91
19,2017,90
19,2018,86
19,2019,86
19,2023,80
20,2015,35
20,2016,33
20,2017,32
20,2018,29
20,2019,33
20,2023,28
23,2015,26
23,2016,29
23,2017,26
23,2018,24
23,2019,26
23,2023,22
25,2015,639
25,2016,647
25,2017,656
25,2018,655
25,2019,656
25,2023,641
41,2015,58
41,2016,56
41,2017,62
41,2018,62
41,2019,62
41,2023,55
47,2015,55
47,2016,53
47,2017,54
47,2018,51
47,2019,49
47,2023,39
50,2015,60
50,2016,59
50,2017,63
50,2018,55
50,2019,59
50,2023,59
52,2015,56
52,2016,50
52,2017,48
52,2018,44
52,2019,44
52,2023,35
54,2015,130
54,2016,123
54,2017,120
54,2018,117
54,2019,115
54,2023,102
63,2015,58
63,2016,58
63,2017,55
63,2018,53
63,2019,49
63,2023,49
66,2015,191
66,2016,179
66,2017,173
66,2018,170
66,2019,169
66,2023,157
68,2015,389
68,2016,381
68,2017,368
68,2018,352
68,2019,342
68,2023,287
70,2015,21
70,2016,21
70,2017,19
70,2018,19
70,2019,18
70,2023,19
73,2015,118
73,2016,109
73,2017,111
73,2018,104
73,2019,100
73,2023,84
76,2015,1184
76,2016,1082
76,2017,1056
76,2018,1013
76,2019,974
76,2023,866
85,2015,14
85,2016,15
85,2017,16
85,2018,18
85,2019,20
85,2023,24
99,2015,22
99,2016,19
99,2017,18
99,2018,16
99,2019,16
99,2023,14
