DPTO,CIIU4,n_establecimientos_anio,pct_dentro_dpto
5,1410,1933,18.73
5,2229,652,6.32
5,1811,513,4.97
5,1081,418,4.05
5,2599,410,3.97
5,3110,373,3.61
5,3290,303,2.94
5,2023,226,2.19
5,1313,215,2.08
5,2511,213,2.06
5,2395,200,1.94
5,1089,188,1.82
5,1011,184,1.78
5,1040,177,1.72
5,2392,168,1.63
5,2022,146,1.41
5,2029,141,1.37
5,2819,136,1.32
5,1392,126,1.22
5,2100,124,1.2
5,2592,123,1.19
5,2829,116,1.12
5,2011,109,1.06
5,1610,106,1.03
5,1521,105,1.02
5,2221,103,1
5,1399,102,0.99
5,1391,92,0.89
5,1430,85,0.82
5,2593,84,0.81
5,2399,82,0.79
5,2310,81,0.78
5,1020,76,0.74
5,1090,75,0.73
5,27,74,0.72
5,2219,73,0.71
5,3250,73,0.71
5,2410,72,0.7
5,1702,70,0.68
5,1709,65,0.63
5,24,61,0.59
5,3091,58,0.56
5,1312,57,0.55
5,3120,57,0.55
5,2816,52,0.5
5,1051,51,0.49
5,2394,50,0.48
5,1640,47,0.46
5,29,45,0.44
5,1922,45,0.44
5,1104,43,0.42
5,2930,43,0.42
5,1630,42,0.41
5,1394,40,0.39
5,2013,40,0.39
5,2012,39,0.38
5,2790,39,0.38
5,2212,38,0.37
5,110,37,0.36
5,2429,37,0.36
5,2712,37,0.36
5,1522,35,0.34
5,1061,34,0.33
5,2396,33,0.32
5,1311,32,0.31
5,1523,32,0.31
5,1921,29,0.28
5,2021,28,0.27
5,2813,28,0.27
5,2814,28,0.27
5,2825,28,0.27
5,2920,28,0.27
5,1812,26,0.25
5,2821,26,0.25
5,1082,24,0.23
5,2393,23,0.22
5,1701,22,0.21
5,1511,21,0.2
5,2740,21,0.2
5,2711,20,0.19
5,1512,19,0.18
5,1690,18,0.17
5,2750,18,0.17
5,2826,18,0.17
5,151,17,0.16
5,3230,17,0.16
5,3240,17,0.16
5,1620,14,0.14
5,1103,12,0.12
5,2391,12,0.12
5,3099,12,0.12
5,1084,9,0.09
5,2030,9,0.09
5,2815,9,0.09
5,2421,7,0.07
5,26,6,0.06
5,2732,5,0.05
5,1513,3,0.03
5,2651,3,0.03
5,3011,3,0.03
5,3210,3,0.03
8,3290,181,9.15
8,1811,125,6.32
8,1081,118,5.96
8,1410,113,5.71
8,1089,79,3.99
8,2229,79,3.99
8,2511,77,3.89
8,1051,56,2.83
8,3110,53,2.68
8,2221,47,2.37
8,2390,47,2.37
8,2819,42,2.12
8,2100,41,2.07
8,202,39,1.97
8,2023,38,1.92
8,2599,38,1.92
8,2395,37,1.87
8,1011,34,1.72
8,2410,34,1.72
8,1040,33,1.67
8,1922,33,1.67
8,2029,31,1.57
8,1030,29,1.47
8,3120,28,1.41
8,1690,25,1.26
8,24,24,1.21
8,1020,24,1.21
8,2310,24,1.21
8,3250,24,1.21
8,1104,22,1.11
8,1921,22,1.11
8,2011,22,1.11
8,2021,20,1.01
8,2592,20,1.01
8,139,19,0.96
8,110,18,0.91
8,1090,17,0.86
8,201,16,0.81
8,1012,15,0.76
8,2219,15,0.76
8,1709,14,0.71
8,2790,14,0.71
8,1392,13,0.66
8,2394,13,0.66
8,2399,13,0.66
8,2829,13,0.66
8,28,12,0.61
8,1610,11,0.56
8,27,10,0.51
8,29,10,0.51
8,1399,10,0.51
8,1522,10,0.51
8,170,9,0.45
8,2920,9,0.45
8,3240,9,0.45
8,1630,6,0.3
8,2391,6,0.3
8,2392,6,0.3
8,2396,6,0.3
8,2813,6,0.3
8,1394,4,0.2
8,2429,4,0.2
8,151,3,0.15
8,1032,3,0.15
8,1511,3,0.15
8,1702,3,0.15
11,1410,1495,9.23
11,1811,1099,6.79
11,2229,1080,6.67
11,3110,846,5.22
11,1081,768,4.74
11,2100,676,4.17
11,2599,640,3.95
11,3290,499,3.08
11,2511,428,2.64
11,2221,383,2.36
11,20,369,2.28
11,1011,341,2.11
11,2930,334,2.06
11,1521,317,1.96
11,2023,308,1.9
11,2819,307,1.9
11,1089,217,1.34
11,2592,190,1.17
11,2410,186,1.15
11,27,177,1.09
11,2829,172,1.06
11,2219,163,1.01
11,1630,154,0.95
11,2310,154,0.95
11,2029,148,0.91
11,1040,141,0.87
11,1082,139,0.86
11,3250,135,0.83
11,1523,129,0.8
11,1702,129,0.8
11,2920,126,0.78
11,1512,122,0.75
11,2392,120,0.74
11,2395,113,0.7
11,1312,108,0.67
11,1051,104,0.64
11,1812,104,0.64
11,1921,103,0.64
11,1392,98,0.61
11,2022,93,0.57
11,1430,90,0.56
11,1020,86,0.53
11,1030,86,0.53
11,1399,86,0.53
11,2593,86,0.53
11,2816,86,0.53
11,2790,83,0.51
11,2813,77,0.48
11,1511,74,0.46
11,2712,70,0.43
11,2825,69,0.43
11,3240,67,0.41
11,139,64,0.4
11,1690,63,0.39
11,2822,61,0.38
11,2740,60,0.37
11,1610,58,0.36
11,1513,57,0.35
11,1709,56,0.35
11,2824,56,0.35
11,1391,55,0.34
11,110,54,0.33
11,2750,53,0.33
11,1313,51,0.31
11,2212,51,0.31
11,3120,50,0.31
11,1701,48,0.3
11,2021,46,0.28
11,1062,45,0.28
11,1104,45,0.28
11,3210,44,0.27
11,2821,43,0.27
11,2011,42,0.26
11,1311,41,0.25
11,1393,41,0.25
11,2711,41,0.25
11,2512,40,0.25
11,1090,39,0.24
11,2814,39,0.24
11,1102,37,0.23
11,2399,37,0.23
11,2513,34,0.21
11,2429,33,0.2
11,1084,32,0.2
11,1922,30,0.19
11,2391,29,0.18
11,1061,27,0.17
11,1522,27,0.17
11,1640,27,0.17
11,2012,26,0.16
11,2013,26,0.16
11,2431,24,0.15
11,26,22,0.14
11,2815,21,0.13
11,3092,21,0.13
11,1083,20,0.12
11,2910,19,0.12
11,3099,19,0.12
11,1394,18,0.11
11,242,15,0.09
11,1620,15,0.09
11,2394,15,0.09
11,1101,13,0.08
11,2732,13,0.08
11,3230,13,0.08
11,3091,10,0.06
11,3315,10,0.06
11,1032,9,0.06
11,243,7,0.04
11,2620,5,0.03
11,3211,5,0.03
11,2396,4,0.02
11,2651,4,0.02
11,3312,4,0.02
11,1033,3,0.02
11,3314,3,0.02
13,3290,175,22.01
13,1089,55,6.92
13,20,45,5.66
13,1922,43,5.41
13,2511,38,4.78
13,2399,35,4.4
13,1081,34,4.28
13,2221,32,4.03
13,22,29,3.65
13,2013,29,3.65
13,2229,26,3.27
13,2410,23,2.89
13,2011,22,2.77
13,2395,22,2.77
13,2599,20,2.52
13,2029,19,2.39
13,1012,18,2.26
13,2819,17,2.14
13,1051,15,1.89
13,2021,15,1.89
13,1690,14,1.76
13,2396,14,1.76
13,28,10,1.26
13,1921,9,1.13
13,110,7,0.88
13,24,6,0.75
13,1610,6,0.75
