CIIU4,n_establecimientos,exposure_est_promedio
1072,8,0.8839
1012,6,0.8667
1311,11,0.8358
2392,113,0.8174
1523,29,0.8018
1522,37,0.7952
1640,21,0.791
2393,4,0.7862
1512,22,0.7813
1511,20,0.779
2395,131,0.7723
1394,9,0.7607
1313,39,0.7594
2391,11,0.7498
1430,18,0.7457
1521,72,0.7387
1610,30,0.7264
1690,28,0.724
2815,3,0.7143
3092,4,0.7024
2592,50,0.7015
2396,8,0.6982
1630,23,0.6955
1391,25,0.6923
2910,3,0.6912
2930,76,0.6879
1103,7,0.684
1033,3,0.68
1392,48,0.6775
2310,51,0.6771
3110,227,0.6682
2513,4,0.6673
3240,15,0.6665
2511,135,0.6634
1910,13,0.6624
2229,368,0.6623
1399,54,0.6617
1702,49,0.6606
1084,8,0.6605
1410,621,0.6599
1011,153,0.659
1312,23,0.6494
2720,4,0.6464
2750,15,0.6463
2593,29,0.646
1082,35,0.6414
2599,227,0.6346
3011,6,0.6345
2429,33,0.6314
1020,40,0.629
2219,51,0.6236
2410,86,0.62
2399,56,0.6189
3091,19,0.6179
1031,34,0.6141
1393,5,0.6133
2221,135,0.61240000000000006
2394,29,0.6118
3099,4,0.6104
2512,17,0.6084
2920,42,0.6055
1811,302,0.6015
1701,27,0.6012
2740,18,0.5953
1709,55,0.5927
2821,22,0.5913
2829,62,0.5898
1081,368,0.5894
2790,49,0.5851
1052,3,0.578
1071,14,0.5746
1040,131,0.5687
3290,503,0.5632
1089,255,0.562
1083,4,0.5608
2711,16,0.5608
2012,32,0.5598
1090,60,0.5595
1513,9,0.5512
2816,17,0.5486
2732,21,0.5478
3120,25,0.5347
1620,3,0.5333
1051,123,0.5328
2819,106,0.5312
2813,22,0.5255
2825,19,0.5186
2011,72,0.5113
3250,54,0.5065
1061,43,0.4964
3230,8,0.4864
1812,14,0.4836
2824,12,0.4798
2023,168,0.4704
1032,20,0.4599
3012,3,0.4468
2022,66,0.4447
2814,9,0.44
1104,49,0.4303
1102,8,0.427
2822,10,0.419
2021,25,0.4098
2029,132,0.3955
2212,16,0.3938
2421,4,0.39
2712,22,0.3837
2100,173,0.366
1922,55,0.354
2013,18,0.3504
1921,41,0.3481
1062,18,0.3418
3211,5,0.3
1101,3,0.2414
