medida,forma_funcional,tipo_test,variable,n_obs,n_firmas,f_stat,df1,df2,p_value
Exposure2022_obreros,"continua, event-study anio-a-anio",F conjunto: coeficientes ANIO_F x exposicion (2016-2019) = 0,empleo_total,29908,6104,0.767,4,6084,0.5463
Exposure2022_obreros,"continua, event-study anio-a-anio",F conjunto: coeficientes ANIO_F x exposicion (2016-2019) = 0,empleo_permanente,29908,6104,1.031,4,6084,0.3898
Exposure2022_obreros,"continua, event-study anio-a-anio",F conjunto: coeficientes ANIO_F x exposicion (2016-2019) = 0,empleo_temporal,29908,6104,1.556,4,6084,0.1832
Exposure2022_obreros,"continua, event-study anio-a-anio",F conjunto: coeficientes ANIO_F x exposicion (2016-2019) = 0,participacion_permanente,29899,6104,0.308,4,6084,0.8729
Exposure2022_obreros,"quintiles, tendencia lineal (anio_lineal)",F conjunto: coeficientes quintil_exposure2022_obreros x anio_lineal (Q2-Q5 vs Q1) = 0,empleo_total,29908,6104,2.082,4,6084,0.08048
Exposure2022_obreros,"quintiles, tendencia lineal (anio_lineal)",F conjunto: coeficientes quintil_exposure2022_obreros x anio_lineal (Q2-Q5 vs Q1) = 0,empleo_permanente,29908,6104,2.625,4,6084,0.03292
Exposure2022_obreros,"quintiles, tendencia lineal (anio_lineal)",F conjunto: coeficientes quintil_exposure2022_obreros x anio_lineal (Q2-Q5 vs Q1) = 0,empleo_temporal,29908,6104,0.592,4,6084,0.6681
Exposure2022_obreros,"quintiles, tendencia lineal (anio_lineal)",F conjunto: coeficientes quintil_exposure2022_obreros x anio_lineal (Q2-Q5 vs Q1) = 0,participacion_permanente,29899,6104,1.521,4,6084,0.1932
Bite2022_obreros,"continua, event-study anio-a-anio",F conjunto: coeficientes ANIO_F x exposicion (2016-2019) = 0,empleo_total,24693,5033,1.565,4,5017,0.1807
Bite2022_obreros,"continua, event-study anio-a-anio",F conjunto: coeficientes ANIO_F x exposicion (2016-2019) = 0,empleo_permanente,24693,5033,0.579,4,5017,0.6781
Bite2022_obreros,"continua, event-study anio-a-anio",F conjunto: coeficientes ANIO_F x exposicion (2016-2019) = 0,empleo_temporal,24693,5033,1.518,4,5017,0.1941
Bite2022_obreros,"continua, event-study anio-a-anio",F conjunto: coeficientes ANIO_F x exposicion (2016-2019) = 0,participacion_permanente,24686,5033,2.353,4,5017,0.05175
Bite2022_obreros,"quintiles, tendencia lineal (anio_lineal)",F conjunto: coeficientes quintil_bite2022_obreros x anio_lineal (Q2-Q5 vs Q1) = 0,empleo_total,24693,5033,2.308,4,5017,0.05573
Bite2022_obreros,"quintiles, tendencia lineal (anio_lineal)",F conjunto: coeficientes quintil_bite2022_obreros x anio_lineal (Q2-Q5 vs Q1) = 0,empleo_permanente,24693,5033,1.151,4,5017,0.3305
Bite2022_obreros,"quintiles, tendencia lineal (anio_lineal)",F conjunto: coeficientes quintil_bite2022_obreros x anio_lineal (Q2-Q5 vs Q1) = 0,empleo_temporal,24693,5033,1.749,4,5017,0.1363
Bite2022_obreros,"quintiles, tendencia lineal (anio_lineal)",F conjunto: coeficientes quintil_bite2022_obreros x anio_lineal (Q2-Q5 vs Q1) = 0,participacion_permanente,24686,5033,7.709,4,5017,3.446e-6
