variable,medida,term,estimate,std.error,statistic,p.value,conf.low,conf.high,grupo_base_omitido
asinh_C3R23C3,Exposure2022_obreros,ANIO_F::2016:exposicion_10pp,0.009525,0.003261,2.9207,0.003505,0.003132,0.015918,2015 (ref.); Exposure2022_obreros; especificacion: Sin controles
asinh_C3R23C3,Exposure2022_obreros,ANIO_F::2017:exposicion_10pp,0.011828,0.003568,3.3151,9.214e-4,0.004834,0.018822,2015 (ref.); Exposure2022_obreros; especificacion: Sin controles
asinh_C3R23C3,Exposure2022_obreros,ANIO_F::2018:exposicion_10pp,0.011993,0.003848,3.1168,0.001837,0.00445,0.019536,2015 (ref.); Exposure2022_obreros; especificacion: Sin controles
asinh_C3R23C3,Exposure2022_obreros,ANIO_F::2019:exposicion_10pp,0.022675,0.004034,5.6205,1.989e-8,0.014766,0.030584,2015 (ref.); Exposure2022_obreros; especificacion: Sin controles
asinh_C3R23C3,Exposure2022_obreros,ANIO_F::2016:exposicion_10pp,-0.00495,0.012597,-0.393,0.6944,-0.029644,0.019744,2015 (ref.); Exposure2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_C3R23C3,Exposure2022_obreros,ANIO_F::2017:exposicion_10pp,-0.001035,0.014102,-0.0734,0.9415,-0.028681,0.026611,2015 (ref.); Exposure2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_C3R23C3,Exposure2022_obreros,ANIO_F::2018:exposicion_10pp,-0.013,0.013766,-0.9444,0.345,-0.039986,0.013986,2015 (ref.); Exposure2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_C3R23C3,Exposure2022_obreros,ANIO_F::2019:exposicion_10pp,-0.002191,0.014031,-0.1562,0.8759,-0.029698,0.025315,2015 (ref.); Exposure2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_C3R41C3,Exposure2022_obreros,ANIO_F::2016:exposicion_10pp,0.033845,0.009665,3.5018,4.655e-4,0.014898,0.052792,2015 (ref.); Exposure2022_obreros; especificacion: Sin controles
asinh_C3R41C3,Exposure2022_obreros,ANIO_F::2017:exposicion_10pp,0.035359,0.010295,3.4347,5.973e-4,0.015178,0.055541,2015 (ref.); Exposure2022_obreros; especificacion: Sin controles
asinh_C3R41C3,Exposure2022_obreros,ANIO_F::2018:exposicion_10pp,0.055249,0.010983,5.0303,5.037e-7,0.033718,0.07678,2015 (ref.); Exposure2022_obreros; especificacion: Sin controles
asinh_C3R41C3,Exposure2022_obreros,ANIO_F::2019:exposicion_10pp,0.07127,0.011288,6.3139,2.913e-10,0.049142,0.093398,2015 (ref.); Exposure2022_obreros; especificacion: Sin controles
asinh_C3R41C3,Exposure2022_obreros,ANIO_F::2016:exposicion_10pp,0.035749,0.030273,1.1809,0.2377,-0.023597,0.095096,2015 (ref.); Exposure2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_C3R41C3,Exposure2022_obreros,ANIO_F::2017:exposicion_10pp,0.044866,0.031881,1.4073,0.1594,-0.017633,0.107365,2015 (ref.); Exposure2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_C3R41C3,Exposure2022_obreros,ANIO_F::2018:exposicion_10pp,0.010948,0.033995,0.322,0.7474,-0.055694,0.077589,2015 (ref.); Exposure2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_C3R41C3,Exposure2022_obreros,ANIO_F::2019:exposicion_10pp,-0.022182,0.034103,-0.6505,0.5154,-0.089036,0.044671,2015 (ref.); Exposure2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_C7R10C2,Exposure2022_obreros,ANIO_F::2016:exposicion_10pp,-0.010841,0.011056,-0.9806,0.3269,-0.032515,0.010833,2015 (ref.); Exposure2022_obreros; especificacion: Sin controles
asinh_C7R10C2,Exposure2022_obreros,ANIO_F::2017:exposicion_10pp,-0.073674,0.011838,-6.2237,5.181e-10,-0.09688,-0.050468,2015 (ref.); Exposure2022_obreros; especificacion: Sin controles
asinh_C7R10C2,Exposure2022_obreros,ANIO_F::2018:exposicion_10pp,-0.074869,0.012166,-6.1539,8.04e-10,-0.098719,-0.051019,2015 (ref.); Exposure2022_obreros; especificacion: Sin controles
asinh_C7R10C2,Exposure2022_obreros,ANIO_F::2019:exposicion_10pp,-0.064873,0.012523,-5.1802,2.288e-7,-0.089423,-0.040323,2015 (ref.); Exposure2022_obreros; especificacion: Sin controles
asinh_C7R10C2,Exposure2022_obreros,ANIO_F::2016:exposicion_10pp,0.02534,0.035106,0.7218,0.4704,-0.04348,0.09416,2015 (ref.); Exposure2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_C7R10C2,Exposure2022_obreros,ANIO_F::2017:exposicion_10pp,0.004287,0.036126,0.1187,0.9056,-0.066533,0.075106,2015 (ref.); Exposure2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_C7R10C2,Exposure2022_obreros,ANIO_F::2018:exposicion_10pp,-0.011226,0.036633,-0.3064,0.7593,-0.08304,0.060589,2015 (ref.); Exposure2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_C7R10C2,Exposure2022_obreros,ANIO_F::2019:exposicion_10pp,-0.05948,0.038591,-1.5413,0.1233,-0.135132,0.016172,2015 (ref.); Exposure2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_VALORVEN,Exposure2022_obreros,ANIO_F::2016:exposicion_10pp,0.005194,0.001461,3.5544,3.817e-4,0.002329,0.008058,2015 (ref.); Exposure2022_obreros; especificacion: Sin controles
asinh_VALORVEN,Exposure2022_obreros,ANIO_F::2017:exposicion_10pp,0.005174,0.001375,3.7632,1.694e-4,0.002479,0.00787,2015 (ref.); Exposure2022_obreros; especificacion: Sin controles
asinh_VALORVEN,Exposure2022_obreros,ANIO_F::2018:exposicion_10pp,0.01181,0.001454,8.1212,5.54e-16,0.008959,0.01466,2015 (ref.); Exposure2022_obreros; especificacion: Sin controles
asinh_VALORVEN,Exposure2022_obreros,ANIO_F::2019:exposicion_10pp,0.018602,0.001678,11.0883,2.665e-28,0.015313,0.021891,2015 (ref.); Exposure2022_obreros; especificacion: Sin controles
asinh_VALORVEN,Exposure2022_obreros,ANIO_F::2016:exposicion_10pp,-5.16e-4,0.0041,-0.1259,0.8998,-0.008554,0.007521,2015 (ref.); Exposure2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_VALORVEN,Exposure2022_obreros,ANIO_F::2017:exposicion_10pp,-5.71e-4,0.004228,-0.1351,0.8925,-0.008859,0.007716,2015 (ref.); Exposure2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_VALORVEN,Exposure2022_obreros,ANIO_F::2018:exposicion_10pp,-0.00685,0.004428,-1.547,0.1219,-0.015531,0.001831,2015 (ref.); Exposure2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_VALORVEN,Exposure2022_obreros,ANIO_F::2019:exposicion_10pp,-0.007552,0.004836,-1.5616,0.1184,-0.017031,0.001928,2015 (ref.); Exposure2022_obreros; especificacion: Con sector*anio + tamano*anio
