variable,medida,especificacion,efectos_fijos,controles,variable_cluster,n_clusters,n_obs,n_obs_reconstruido_coincide,ventana,filtro_muestra,variable_exposicion
asinh_C3R23C3,Exposure2022_obreros,Sin controles,NORDEMP,Ninguno,NORDEMP,6104,29909,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros no NA, CIIU4 no NA, tamano_empresa no NA; panel de firma (NORDEMP-ANIO)","Exposure2022_obreros (FIRMA), continua, escalada"
asinh_C3R23C3,Exposure2022_obreros,Con sector*anio + tamano*anio,NORDEMP + CIIU4^ANIO_F + tamano_empresa^ANIO_F,"sector (CIIU4) x anio, tamano_empresa x anio",NORDEMP,6104,29908,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros no NA, CIIU4 no NA, tamano_empresa no NA; panel de firma (NORDEMP-ANIO)","Exposure2022_obreros (FIRMA), continua, escalada"
asinh_C3R41C3,Exposure2022_obreros,Sin controles,NORDEMP,Ninguno,NORDEMP,6104,29909,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros no NA, CIIU4 no NA, tamano_empresa no NA; panel de firma (NORDEMP-ANIO)","Exposure2022_obreros (FIRMA), continua, escalada"
asinh_C3R41C3,Exposure2022_obreros,Con sector*anio + tamano*anio,NORDEMP + CIIU4^ANIO_F + tamano_empresa^ANIO_F,"sector (CIIU4) x anio, tamano_empresa x anio",NORDEMP,6104,29908,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros no NA, CIIU4 no NA, tamano_empresa no NA; panel de firma (NORDEMP-ANIO)","Exposure2022_obreros (FIRMA), continua, escalada"
asinh_C7R10C2,Exposure2022_obreros,Sin controles,NORDEMP,Ninguno,NORDEMP,6104,29909,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros no NA, CIIU4 no NA, tamano_empresa no NA; panel de firma (NORDEMP-ANIO)","Exposure2022_obreros (FIRMA), continua, escalada"
asinh_C7R10C2,Exposure2022_obreros,Con sector*anio + tamano*anio,NORDEMP + CIIU4^ANIO_F + tamano_empresa^ANIO_F,"sector (CIIU4) x anio, tamano_empresa x anio",NORDEMP,6104,29908,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros no NA, CIIU4 no NA, tamano_empresa no NA; panel de firma (NORDEMP-ANIO)","Exposure2022_obreros (FIRMA), continua, escalada"
asinh_VALORVEN,Exposure2022_obreros,Sin controles,NORDEMP,Ninguno,NORDEMP,6104,29909,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros no NA, CIIU4 no NA, tamano_empresa no NA; panel de firma (NORDEMP-ANIO)","Exposure2022_obreros (FIRMA), continua, escalada"
asinh_VALORVEN,Exposure2022_obreros,Con sector*anio + tamano*anio,NORDEMP + CIIU4^ANIO_F + tamano_empresa^ANIO_F,"sector (CIIU4) x anio, tamano_empresa x anio",NORDEMP,6104,29908,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros no NA, CIIU4 no NA, tamano_empresa no NA; panel de firma (NORDEMP-ANIO)","Exposure2022_obreros (FIRMA), continua, escalada"
asinh_C3R23C3,Bite2022_obreros,Sin controles,NORDEMP,Ninguno,NORDEMP,5033,24696,FALSE,"2015-2019 (pre-choque, NO ampliada)","Bite2022_obreros no NA, CIIU4 no NA, tamano_empresa no NA; panel de firma (NORDEMP-ANIO)","Bite2022_obreros (FIRMA), continua, escalada"
asinh_C3R23C3,Bite2022_obreros,Con sector*anio + tamano*anio,NORDEMP + CIIU4^ANIO_F + tamano_empresa^ANIO_F,"sector (CIIU4) x anio, tamano_empresa x anio",NORDEMP,5033,24693,FALSE,"2015-2019 (pre-choque, NO ampliada)","Bite2022_obreros no NA, CIIU4 no NA, tamano_empresa no NA; panel de firma (NORDEMP-ANIO)","Bite2022_obreros (FIRMA), continua, escalada"
asinh_C3R41C3,Bite2022_obreros,Sin controles,NORDEMP,Ninguno,NORDEMP,5033,24696,FALSE,"2015-2019 (pre-choque, NO ampliada)","Bite2022_obreros no NA, CIIU4 no NA, tamano_empresa no NA; panel de firma (NORDEMP-ANIO)","Bite2022_obreros (FIRMA), continua, escalada"
asinh_C3R41C3,Bite2022_obreros,Con sector*anio + tamano*anio,NORDEMP + CIIU4^ANIO_F + tamano_empresa^ANIO_F,"sector (CIIU4) x anio, tamano_empresa x anio",NORDEMP,5033,24693,FALSE,"2015-2019 (pre-choque, NO ampliada)","Bite2022_obreros no NA, CIIU4 no NA, tamano_empresa no NA; panel de firma (NORDEMP-ANIO)","Bite2022_obreros (FIRMA), continua, escalada"
asinh_C7R10C2,Bite2022_obreros,Sin controles,NORDEMP,Ninguno,NORDEMP,5033,24696,FALSE,"2015-2019 (pre-choque, NO ampliada)","Bite2022_obreros no NA, CIIU4 no NA, tamano_empresa no NA; panel de firma (NORDEMP-ANIO)","Bite2022_obreros (FIRMA), continua, escalada"
asinh_C7R10C2,Bite2022_obreros,Con sector*anio + tamano*anio,NORDEMP + CIIU4^ANIO_F + tamano_empresa^ANIO_F,"sector (CIIU4) x anio, tamano_empresa x anio",NORDEMP,5033,24693,FALSE,"2015-2019 (pre-choque, NO ampliada)","Bite2022_obreros no NA, CIIU4 no NA, tamano_empresa no NA; panel de firma (NORDEMP-ANIO)","Bite2022_obreros (FIRMA), continua, escalada"
asinh_VALORVEN,Bite2022_obreros,Sin controles,NORDEMP,Ninguno,NORDEMP,5033,24696,FALSE,"2015-2019 (pre-choque, NO ampliada)","Bite2022_obreros no NA, CIIU4 no NA, tamano_empresa no NA; panel de firma (NORDEMP-ANIO)","Bite2022_obreros (FIRMA), continua, escalada"
asinh_VALORVEN,Bite2022_obreros,Con sector*anio + tamano*anio,NORDEMP + CIIU4^ANIO_F + tamano_empresa^ANIO_F,"sector (CIIU4) x anio, tamano_empresa x anio",NORDEMP,5033,24693,FALSE,"2015-2019 (pre-choque, NO ampliada)","Bite2022_obreros no NA, CIIU4 no NA, tamano_empresa no NA; panel de firma (NORDEMP-ANIO)","Bite2022_obreros (FIRMA), continua, escalada"
