variable,anio,estimate,std.error,p.value,conf.low,conf.high
empleo_temporal,2015,-0.714243,0.365123,0.05049,-1.430011,0.001524
empleo_temporal,2016,-0.942455,0.354099,0.007798,-1.636613,-0.248298
empleo_temporal,2017,-0.87811,0.354465,0.01327,-1.572985,-0.183235
empleo_temporal,2018,-0.436433,0.312862,0.1631,-1.049751,0.176885
empleo_temporal,2019,-0.57339,0.33855,0.09038,-1.237066,0.090286
empleo_temporal,2021,0.017337,0.243305,0.9432,-0.459626,0.494299
empleo_temporal,2023,-0.427539,0.193642,0.02729,-0.807145,-0.047934
empleo_temporal,2024,-0.236815,0.255998,0.355,-0.738659,0.26503
participacion_permanente,2015,0.638606,0.234599,0.006505,0.178711,1.098501
participacion_permanente,2016,0.635197,0.223154,0.004435,0.197739,1.072656
participacion_permanente,2017,0.660254,0.219291,0.002616,0.230368,1.090141
participacion_permanente,2018,0.554695,0.1982,0.005147,0.166154,0.943236
participacion_permanente,2019,0.471186,0.178189,0.008207,0.121874,0.820498
participacion_permanente,2021,0.195265,0.119795,0.1032,-0.039575,0.430104
participacion_permanente,2023,0.326042,0.11057,0.003203,0.109287,0.542798
participacion_permanente,2024,0.232992,0.139964,0.09603,-0.041386,0.50737
