variable,term,estimate,std.error,statistic,p.value,conf.low,conf.high,grupo_base_omitido
empleo_total,anio_lineal,4.136427,1.333157,3.1027,0.001928,1.522857,6.749997,Q1 - Muy baja (ref.); especificacion: Sin controles
empleo_total,quintil_bite2022_obreros::Q2 - Baja:anio_lineal,-2.758333,1.651638,-1.6701,0.09497,-5.996266,0.479599,Q1 - Muy baja (ref.); especificacion: Sin controles
empleo_total,quintil_bite2022_obreros::Q3 - Media:anio_lineal,-2.718837,1.475349,-1.8428,0.06541,-5.611165,0.173491,Q1 - Muy baja (ref.); especificacion: Sin controles
empleo_total,quintil_bite2022_obreros::Q4 - Alta:anio_lineal,-3.997526,1.498511,-2.6677,0.007663,-6.935263,-1.059789,Q1 - Muy baja (ref.); especificacion: Sin controles
empleo_total,quintil_bite2022_obreros::Q5 - Muy alta:anio_lineal,-3.843735,1.413115,-2.72,0.00655,-6.614059,-1.073412,Q1 - Muy baja (ref.); especificacion: Sin controles
empleo_total,quintil_bite2022_obreros::Q2 - Baja:anio_lineal,-2.903867,1.660125,-1.7492,0.08032,-6.158438,0.350703,Q1 - Muy baja (ref.); especificacion: Con sector*anio + departamento*anio
empleo_total,quintil_bite2022_obreros::Q3 - Media:anio_lineal,-2.386812,1.465362,-1.6288,0.1034,-5.259563,0.485938,Q1 - Muy baja (ref.); especificacion: Con sector*anio + departamento*anio
empleo_total,quintil_bite2022_obreros::Q4 - Alta:anio_lineal,-3.985891,1.509079,-2.6413,0.008285,-6.944346,-1.027436,Q1 - Muy baja (ref.); especificacion: Con sector*anio + departamento*anio
empleo_total,quintil_bite2022_obreros::Q5 - Muy alta:anio_lineal,-3.805491,1.462954,-2.6012,0.009316,-6.673519,-0.937462,Q1 - Muy baja (ref.); especificacion: Con sector*anio + departamento*anio
empleo_permanente,anio_lineal,2.429349,0.963252,2.522,0.0117,0.540953,4.317744,Q1 - Muy baja (ref.); especificacion: Sin controles
empleo_permanente,quintil_bite2022_obreros::Q2 - Baja:anio_lineal,-1.808831,1.170396,-1.5455,0.1223,-4.103318,0.485656,Q1 - Muy baja (ref.); especificacion: Sin controles
empleo_permanente,quintil_bite2022_obreros::Q3 - Media:anio_lineal,-0.772608,1.073128,-0.72,0.4716,-2.876407,1.331191,Q1 - Muy baja (ref.); especificacion: Sin controles
empleo_permanente,quintil_bite2022_obreros::Q4 - Alta:anio_lineal,-1.344366,1.029405,-1.306,0.1916,-3.362449,0.673716,Q1 - Muy baja (ref.); especificacion: Sin controles
empleo_permanente,quintil_bite2022_obreros::Q5 - Muy alta:anio_lineal,-1.658338,1.087302,-1.5252,0.1273,-3.789925,0.473248,Q1 - Muy baja (ref.); especificacion: Sin controles
empleo_permanente,quintil_bite2022_obreros::Q2 - Baja:anio_lineal,-1.66037,1.218048,-1.3631,0.1729,-4.048276,0.727536,Q1 - Muy baja (ref.); especificacion: Con sector*anio + departamento*anio
