SECTOR_CIIU,n_empresas,exposure_obreros_media
2392,106,0.819
1523,29,0.802
1522,37,0.795
1640,21,0.791
1512,21,0.785
1511,17,0.765
1313,39,0.753
1430,18,0.746
1610,29,0.746
1521,72,0.739
1690,27,0.726
2395,75,0.708
2592,50,0.694
1630,23,0.684
2930,75,0.683
1391,24,0.678
2310,50,0.677
1392,48,0.672
1701,19,0.669
3110,225,0.669
2229,354,0.667
3240,15,0.667
2511,129,0.664
1312,22,0.662
1702,44,0.661
1399,54,0.659
1410,612,0.658
3091,16,0.648
2593,29,0.646
2750,15,0.646
1910,11,0.643
1011,130,0.636
2599,218,0.636
1082,32,0.632
2219,48,0.628
2394,16,0.62
2410,74,0.62
1020,37,0.619
2399,46,0.618
2429,31,0.616
2221,133,0.613
2512,17,0.608
2920,42,0.606
1811,297,0.601
1031,33,0.6
2740,18,0.595
2829,60,0.593
2821,22,0.591
1709,45,0.589
1081,339,0.588
2790,48,0.583
1071,12,0.567
1040,109,0.564
2711,16,0.561
3290,463,0.561
1089,224,0.56
1090,40,0.557
2012,32,0.555
2816,17,0.549
2732,20,0.538
2813,21,0.531
2819,104,0.527
2825,19,0.519
3120,23,0.518
2011,58,0.512
1051,85,0.51
3250,54,0.507
1061,25,0.504
1812,14,0.484
2824,12,0.48
1032,16,0.464
1104,33,0.456
2022,63,0.449
2023,153,0.445
2212,11,0.43
2822,10,0.419
1062,15,0.412
2021,23,0.404
2029,122,0.394
1921,34,0.393
2712,22,0.384
2100,160,0.361
2013,16,0.353
