ANIO,n_empresas,salario_obrero_mediana,salario_admin_mediana,salario_pt_mediana,obrero_es_el_mas_bajo,ratio_admin_sobre_obrero,ratio_pt_sobre_obrero
2008,6639,7350,12786.5,15548.8,TRUE,1.74,2.12
2009,7663,7574.8,13127.2,15670.9,TRUE,1.73,2.07
2010,8286,7808.3,13086,15723.1,TRUE,1.68,2.01
2011,8063,8144.5,13544.2,16051.6,TRUE,1.66,1.97
2012,7811,8651.5,14402.9,17000.7,TRUE,1.66,1.97
2013,7872,9040.6,15266.4,17755.8,TRUE,1.69,1.96
2014,7664,9556.1,16514.8,18495.6,TRUE,1.73,1.94
2015,7492,9977.4,17639,18851.4,TRUE,1.77,1.89
2016,7094,10764,19491.6,20115.3,TRUE,1.81,1.87
2017,6867,11433.4,20626.7,21238.2,TRUE,1.8,1.86
2018,6628,12198,22577.1,21999,TRUE,1.85,1.8
2019,6399,12972.7,24037.1,23373.3,TRUE,1.85,1.8
2020,6182,13185.2,26575.9,24206,TRUE,2.02,1.84
2021,6025,14488.4,29739.9,26317.1,TRUE,2.05,1.82
2022,5743,16161.8,34057.4,28708.9,TRUE,2.11,1.78
2023,5669,18172.7,37728.8,32025,TRUE,2.08,1.76
2024,5532,20238.9,41549.6,34816,TRUE,2.05,1.72
