quintil_exposure2012,periodo_2012,n_empresas,n_obs,empleo_total_promedio,costo_laboral_total_promedio,salario_promedio_promedio,productividad_promedio,participacion_permanentes_promedio,participacion_temporales_promedio,intensidad_laboral_promedio
Q1 - Muy baja,Post (>=2013),1670,16253,155.51209007567834,7214004.750123062,33650.293225807065,173284.75218454006,0.6688823927322554,0.30954146052014875,1.5639750301517856
Q1 - Muy baja,Pre (<=2012),1851,8297,117.58045076533686,3914124.9293720624,22660.852829861768,148064.4594724902,0.6387435920113029,0.3082245244779395,0.44360463980962067
Q2 - Baja,Post (>=2013),1724,16928,103.9898393194707,3901470.9197731433,29088.52049359393,103502.0332710302,0.6745404071653094,0.3080812277306281,1.1938423975018635
Q2 - Baja,Pre (<=2012),1851,8317,84.76770470121438,2252620.4567752797,18893.10469150015,53834.62648136668,0.6464617641832987,0.3274578615948423,0.6107597643231737
Q3 - Media,Post (>=2013),1711,16323,82.79262390491944,2793291.8760031858,26666.05213283777,59214.50467467136,0.658008997837589,0.326872778301699,2.1981245332687083
Q3 - Media,Pre (<=2012),1851,8266,72.36027098959593,1753615.590612146,18216.246322235485,39247.69651170355,0.6413306007018655,0.3337855334288279,0.7006200586645502
Q4 - Alta,Post (>=2013),1690,15609,77.85194439105645,2444550.7924274458,25071.334328817175,47605.89995761694,0.6307104771837331,0.3511654656987625,11.939768081900233
Q4 - Alta,Pre (<=2012),1851,8288,68.9070945945946,1462516.998069498,17209.002787924095,29607.517483887288,0.6148058064162168,0.36096677044564224,1.2769839210075036
Q5 - Muy alta,Post (>=2013),1633,13702,65.44453364472339,1964505.5097066122,25003.179955954336,42666.96860606534,0.641390953740999,0.334639133556655,12.675910616372658
Q5 - Muy alta,Pre (<=2012),1850,8040,56.035820895522384,1242884.396641791,17204.026256934758,22554.287176862552,0.6047679923897457,0.3622571497381892,4.33845854985379
