fuente,variable,label_dta,aparece_en_anios,descripcion_diccionario,descripcion_final
EAC,ADECUA,"Gasto en Mantenimiento, reparaciones",16,NA,"Gasto en Mantenimiento, reparaciones"
EAC,AGEHOM,Personal temporal cont a través de agencias - Hombres,16,NA,Personal temporal cont a través de agencias - Hombres
EAC,AGEMUJ,Personal temporal cont a través de agencias - Mujeres,16,NA,Personal temporal cont a través de agencias - Mujeres
EAC,AGENCIA,Personal temporal cont a través de agencias - Total,16,NA,Personal temporal cont a través de agencias - Total
EAC,AGREGA,Valor Agregado,16,NA,Valor Agregado
EAC,APRENDIZ,Aprendices-Total,16,NA,Aprendices-Total
EAC,APRENHOM,Aprendices-Hombres,16,NA,Aprendices-Hombres
EAC,APRENMUJ,Aprendices-Mujeres,16,NA,Aprendices-Mujeres
EAC,ARRIENDO,Gasto en Arrendamiento de bienes inmuebles y muebles,16,NA,Gasto en Arrendamiento de bienes inmuebles y muebles
EAC,ASEO,Gasto en Aseo y vigilancia,16,NA,Gasto en Aseo y vigilancia
EAC,BRUTA,Producción Bruta,16,NA,Producción Bruta
EAC,CIMREP,"Costo de insumos en los servicios de instalacion, reparación y mantenimiento res",9,NA,"Costo de insumos en los servicios de instalacion, reparación y mantenimiento res"
EAC,COMISION,Gastos de ventas por comisión a terceros,16,NA,Gastos de ventas por comisión a terceros
EAC,COMUNICA,Gasto en Comunicaciones,16,NA,Gasto en Comunicaciones
EAC,CONSUI,Consumo Intermedio 1996 - 2006,16,NA,Consumo Intermedio 1996 - 2006
EAC,CORRELA,Correlativa,8,NA,Correlativa
EAC,CORRELA_16,Correlativa a nivel de 16 dominios de estudio según la CIIU Rev 4. A.C. Se agreg,8,NA,Correlativa a nivel de 16 dominios de estudio según la CIIU Rev 4. A.C. Se agreg
EAC,CORRELA_9,Correlativa a nivel de 9 dominios de estudio según la CIIU Rev 4. A.C. Se agrega,1,NA,Correlativa a nivel de 9 dominios de estudio según la CIIU Rev 4. A.C. Se agrega
EAC,CORRE_9,Correlativa a nivel de 9 dominios de estudio según la CIIU Rev 4. A.C. Se agrega,7,NA,Correlativa a nivel de 9 dominios de estudio según la CIIU Rev 4. A.C. Se agrega
EAC,COTIZA,Cotizaciones patronales obligatorias causadas en el año,16,NA,Cotizaciones patronales obligatorias causadas en el año
EAC,CTO,costo de mercancia vendida,16,NA,costo de mercancia vendida
EAC,CTOINS,costo de insumos más costo de mercancia,12,NA,costo de insumos más costo de mercancia
EAC,DIRECTO,Personal temporal directo-Total,16,NA,Personal temporal directo-Total
EAC,DIRHOM,Personal temporal directo-Hombres,16,NA,Personal temporal directo-Hombres
EAC,DIRMUJ,Personal temporal directo-Mujeres,16,NA,Personal temporal directo-Mujeres
EAC,EMPAQUE,Gasto en Empaques y embalajes,16,NA,Gasto en Empaques y embalajes
EAC,ENERGIA,Gasto en Energía eléctrica comprada,16,NA,Gasto en Energía eléctrica comprada
EAC,FACEXP,Factor de expansión,4,NA,Factor de expansión
