fuente,anio,archivo_zip,archivo_dta,variable,label_dta
EAM,2008,EAM_2008.zip,EAM_2008.dta,NORDEMP,Número de Empresa
EAM,2008,EAM_2008.zip,EAM_2008.dta,NORDEST,Número de Establecimiento
EAM,2008,EAM_2008.zip,EAM_2008.dta,DPTO,Departamento
EAM,2008,EAM_2008.zip,EAM_2008.dta,CIIU3,CIIU
EAM,2008,EAM_2008.zip,EAM_2008.dta,PERIODO,Año
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R1C1N," Propietarios, socios y familiares (sin remuneración fija) Mujer - Producción -"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R1C2N," Propietarios, socios y familiares (sin remuneración fija) Hombre - Producción -"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R2C1E," Propietarios, socios y familiares (sin remuneración fija) Mujer - Producción -"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R2C2E," Propietarios, socios y familiares (sin remuneración fija) Hombre - Producción -"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R1C1," Propietarios, socios y familiares (sin remuneración fija) Mujer - Producción -"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R1C2," Propietarios, socios y familiares (sin remuneración fija) Hombre - Producción -"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R1C3," Propietarios, socios y familiares (sin remuneración fija) Mujer - Administrativ"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R1C4," Propietarios, socios y familiares (sin remuneración fija) Hombre - Administrati"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R4C1T," Propietarios, socios y familiares (sin remuneración fija) Total personal ocupad"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R4C2T," Propietarios, socios y familiares (sin remuneración fija) Total personal ocupad"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R1C3N,Personal permanente (contrato a término indefinido) Mujer - Producción - Profesi
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R1C4N,Personal permanente (contrato a término indefinido) Hombre - Producción - Profes
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R2C3E,Personal permanente (contrato a término indefinido) Mujer - Producción - Profesi
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R2C4E,Personal permanente (contrato a término indefinido) Hombre - Producción - Profes
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R2C1,Personal permanente (contrato a término indefinido) Mujer - Producción - Obrero
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R2C2,Personal permanente (contrato a término indefinido) Hombre - Producción - Obrero
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R2C3,Personal permanente (contrato a término indefinido) Mujer - Producción - Adminis
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R2C4,Personal permanente (contrato a término indefinido) Hombre - Producción - Admini
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R4C3T,Personal permanente (contrato a término indefinido) - Mujer-  Total Personal ocu
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R4C4T,Personal permanente (contrato a término indefinido) - hombre-  Total Personal oc
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R1C5N, Temporal contratado directamente por el establecimiento - Mujer  - Producción-
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R1C6N, Temporal contratado directamente por el establecimiento - Hombre  - Producción-
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R2C5E, Temporal contratado directamente por el establecimiento - Mujer  - Producción-
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R2C6E, Temporal contratado directamente por el establecimiento - Hombre  - Producción-
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R3C1, Temporal contratado directamente por el establecimiento - Mujer  - Producción-
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R3C2, Temporal contratado directamente por el establecimiento - Hombre  - Producción-
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R3C3, Temporal contratado directamente por el establecimiento - Mujer  - Administrati
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R3C4, Temporal contratado directamente por el establecimiento - Hombre  - Administrat
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R4C5T, Temporal contratado directamente por el establecimiento - Mujer  -Total Persona
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R4C6T, Temporal contratado directamente por el establecimiento - Hombre  - Total Perso
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R1C7N, Temporal contratado  a través de empresas especializadas - Mujer  - Producción-
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R1C8N, Temporal contratado  a través de empresas especializadas - Hombre  - Producción
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R2C7E, Temporal contratado  a través de empresas especializadas - Mujer  - Producción-
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R2C8E, Temporal contratado  a través de empresas especializadas - Hombre  - Producción
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R4C1, Temporal contratado  a través de empresas especializadas - Mujer  - Producción-
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R4C2, Temporal contratado  a través de empresas especializadas - Hombre  - Producción
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R4C3, Temporal contratado  a través de empresas especializadas - Mujer  - Administrat
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R4C4, Temporal contratado  a través de empresas especializadas - Hombre  - Administra
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R4C7T, Temporal contratado  a través de empresas especializadas - Mujer  -Total Person
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R4C8T, Temporal contratado  a través de empresas especializadas - Hombre  - Total Pers
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R6MN, Aprendices y pasantes (Ley 789 de 2002) - Mujer  - Producción- Profesional Tecn
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R6HN, Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Producción- Profesional Tec
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R6ME, Aprendices y pasantes (Ley 789 de 2002) - Mujer  - Producción- Profesional Tecn
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R6HE, Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Producción- Profesional Tec
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R6OM, Aprendices y pasantes (Ley 789 de 2002) - Mujer  - Producción- Obrero
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R6OH, Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Producción- Obrero
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R6DM, Aprendices y pasantes (Ley 789 de 2002) - Mujer  - Administrativo
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R6DH, Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Administrativo
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R6TM, Aprendices y pasantes (Ley 789 de 2002) - Mujer  -Total Personal Ocupado
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R6TH, Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Total Personal Ocupado
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R1C9N,Total Personal Ocupado  - Mujer -  Producción - Producción - Profesional Tecnólo
