resultado,anio,quintil,coeficiente,error_estandar,p_valor,significancia,ic95_inferior,ic95_superior,efecto_porcentual
Salario promedio (log),2023,Q2,0.02516710704299074,0.01300994279824628,0.05311288072179169,*,-3.3238084157196854e-4,0.050666594927553446,2.516710704299074
Salario promedio (log),2024,Q2,0.023669533032234395,0.011223321659526438,0.03499671318225214,**,0.001671822579562575,0.045667243484906216,2.3669533032234393
Salario promedio (log),2023,Q3,0.06107488824636736,0.01409739227383739,1.5035959311068832e-5,***,0.033443999389646074,0.08870577710308863,6.107488824636736
Salario promedio (log),2024,Q3,0.06804698652972802,0.01218745157936719,2.481243661222373e-8,***,0.04415958143416832,0.09193439162528771,6.804698652972801
Salario promedio (log),2023,Q4,0.046231237056223146,0.01472178075365058,0.0016972350871961252,***,0.01737654677906801,0.07508592733337828,4.623123705622315
Salario promedio (log),2024,Q4,0.07689237626024582,0.013779720935006264,2.527816631771338e-8,***,0.049884123227633546,0.1039006292928581,7.689237626024583
Salario promedio (log),2023,Q5 (más expuestas),0.10085374242897685,0.015595806708248929,1.0951270722581329e-10,***,0.07028596128080895,0.13142152357714476,10.085374242897686
Salario promedio (log),2024,Q5 (más expuestas),0.1467639705223567,0.013986971966560787,1.691326829510084e-25,***,0.11934950546789756,0.17417843557681584,14.676397052235671
Empleo total (log),2023,Q2,0.007058962757002841,0.015354087058858785,0.6457189673252706,,-0.023035047878360377,0.03715297339236606,0.7058962757002841
Empleo total (log),2024,Q2,-0.030408704061749642,0.020138248292747844,0.13110605488109664,,-0.06987967071553541,0.00906226259203613,-3.0408704061749643
Empleo total (log),2023,Q3,-0.034864305624288744,0.018085216936671283,0.053938088051928255,*,-0.07031133082016446,5.827195715869676e-4,-3.4864305624288745
Empleo total (log),2024,Q3,-0.023200307204583038,0.021314493988905708,0.27643665402496514,,-0.06497671542283823,0.018576101013672148,-2.3200307204583037
Empleo total (log),2023,Q4,-0.03782266234223895,0.01806193914397295,0.03630450924064136,**,-0.07322406306442594,-0.002421261620051969,-3.7822662342238953
Empleo total (log),2024,Q4,-0.061491356995978866,0.02225603650162654,0.005749462764407605,***,-0.10511318853916687,-0.01786952545279085,-6.1491356995978865
Empleo total (log),2023,Q5 (más expuestas),-0.03715320457134284,0.017656533081181765,0.035408236910923936,**,-0.0717600094104591,-0.0025463997322265827,-3.7153204571342844
Empleo total (log),2024,Q5 (más expuestas),-0.06858451364961077,0.022416352379999453,0.0022280340727803953,***,-0.1125205643144097,-0.02464846298481184,-6.858451364961077
