resultado,anio,quintil,coeficiente,error_estandar,p_valor,significancia,ic95_inferior,ic95_superior,efecto_porcentual
Salario promedio (log),2023,Q2,-0.0017434123121388633,0.014351261710458184,0.9033144873852401,,-0.029871885264636903,0.026385060640359177,-0.17434123121388634
Salario promedio (log),2024,Q2,-0.002547122996979484,0.012419231324204194,0.8375060535137334,,-0.026888816392419704,0.021794570398460736,-0.2547122996979484
Salario promedio (log),2023,Q3,-0.027378528826168966,0.01562894123030466,0.07987115603651698,*,-0.058011253637566096,0.003254195985228168,-2.7378528826168966
Salario promedio (log),2024,Q3,-0.01774355098471088,0.012909656025578708,0.1693655295210502,,-0.04304647679484515,0.0075593748254233865,-1.7743550984710879
Salario promedio (log),2023,Q4,-0.0713511440391877,0.015317823321724483,3.2734952593348863e-6,***,-0.10137407774976769,-0.041328210328607715,-7.13511440391877
Salario promedio (log),2024,Q4,-0.037526395545458904,0.01398997385270842,0.007333688154428414,***,-0.0649467442967674,-0.010106046794150402,-3.7526395545458904
Salario promedio (log),2023,Q5 (más expuestas),-0.08907074325659108,0.016615355713843382,8.653403672766029e-8,***,-0.1216368404557241,-0.05650464605745805,-8.907074325659108
Salario promedio (log),2024,Q5 (más expuestas),-0.04091505461892067,0.014039519780164208,0.003580660152728287,***,-0.06843251338804252,-0.013397595849798823,-4.091505461892067
Empleo total (log),2023,Q2,0.009066225831960957,0.02402337007220859,0.7058980962835095,,-0.03801957950956788,0.05615203117348979,0.9066225831960958
Empleo total (log),2024,Q2,-0.02996593195246279,0.025796772435171377,0.24544611024636262,,-0.08052760592539869,0.02059574202047311,-2.996593195246279
Empleo total (log),2023,Q3,0.00464979226061281,0.026172882860084738,0.8589995311939763,,-0.04664905814515328,0.055948642666378896,0.464979226061281
Empleo total (log),2024,Q3,0.013749515507509521,0.02793210294957148,0.6225654165601067,,-0.040997406273650575,0.06849643728866962,1.374951550750952
Empleo total (log),2023,Q4,-0.012286909068964385,0.027413666783225023,0.6540252044201692,,-0.06601769596408542,0.04144387782615666,-1.2286909068964385
Empleo total (log),2024,Q4,-0.036897363907104075,0.028532411184636827,0.19600965222494443,,-0.09282088982899225,0.019026162014784104,-3.6897363907104075
Empleo total (log),2023,Q5 (más expuestas),-0.006989571701148515,0.02823120058276209,0.8044668730449579,,-0.06232272484336221,0.04834358144106518,-0.6989571701148515
Empleo total (log),2024,Q5 (más expuestas),-0.03961534212854021,0.02927922187518869,0.17610964294590248,,-0.09700261700391005,0.017771932746829623,-3.961534212854021
