resultado,quintil,referencia,efecto_porcentual,p_valor,significancia
Empleo total (log),Q2,2022,0.7058962757002841,0.6457189673252706,
Empleo total (log),Q2,promedio 2015-2019,0.9066225831960958,0.7058980962835095,
Empleo total (log),Q3,2022,-3.4864305624288745,0.053938088051928255,*
Empleo total (log),Q3,promedio 2015-2019,0.464979226061281,0.8589995311939763,
Empleo total (log),Q4,2022,-3.7822662342238953,0.03630450924064136,**
Empleo total (log),Q4,promedio 2015-2019,-1.2286909068964385,0.6540252044201692,
Empleo total (log),Q5 (más expuestas),2022,-3.7153204571342844,0.035408236910923936,**
Empleo total (log),Q5 (más expuestas),promedio 2015-2019,-0.6989571701148515,0.8044668730449579,
Salario promedio (log),Q2,2022,2.516710704299074,0.05311288072179169,*
Salario promedio (log),Q2,promedio 2015-2019,-0.17434123121388634,0.9033144873852401,
Salario promedio (log),Q3,2022,6.107488824636736,1.5035959311068832e-5,***
Salario promedio (log),Q3,promedio 2015-2019,-2.7378528826168966,0.07987115603651698,*
Salario promedio (log),Q4,2022,4.623123705622315,0.0016972350871961252,***
Salario promedio (log),Q4,promedio 2015-2019,-7.13511440391877,3.2734952593348863e-6,***
Salario promedio (log),Q5 (más expuestas),2022,10.085374242897686,1.0951270722581329e-10,***
Salario promedio (log),Q5 (más expuestas),promedio 2015-2019,-8.907074325659108,8.653403672766029e-8,***
