resultado,grupo,anio,coeficiente,error_estandar,ic95_inferior,ic95_superior
Empleo total (log),Baja exposición,2015,-0.03404743855419654,0.026386079563075388,-0.0857641544978243,0.01766927738943122
Empleo total (log),Baja exposición,2016,-0.0190122714086733,0.024528776547366463,-0.06708867344151156,0.029064130624164963
Empleo total (log),Baja exposición,2017,-0.012894839694462833,0.02250707022053906,-0.05700869732671939,0.031219017937793726
Empleo total (log),Baja exposición,2018,-0.05010476587939076,0.021007675886509192,-0.09127981061694877,-0.008929721141832742
Empleo total (log),Baja exposición,2019,-0.04197929674380256,0.017818673284089873,-0.0769038963806187,-0.0070546971069864114
Empleo total (log),Baja exposición,2021,-0.026281641014464428,0.012709007959256797,-0.05119129661460775,-0.0013719854143211078
Empleo total (log),Baja exposición,2022,0,0,0,0
Empleo total (log),Baja exposición,2023,-0.013449854112892765,0.014229552472515276,-0.0413397769590227,0.014440068733237176
Empleo total (log),Baja exposición,2024,-0.012267218478597065,0.016299886485655647,-0.044214995990482134,0.019680559033288
Empleo total (log),Alta exposición,2015,0.034876374397142126,0.024737704166807407,-0.013609525769800394,0.08336227456408465
Empleo total (log),Alta exposición,2016,0.033903569419197546,0.02361369272122587,-0.012379268314405154,0.08018640715280025
Empleo total (log),Alta exposición,2017,0.023988668107098668,0.021948114845896736,-0.019029636990858932,0.06700697320505627
Empleo total (log),Alta exposición,2018,-0.00252671889497948,0.018806170331910777,-0.03938681274552461,0.03433337495556564
Empleo total (log),Alta exposición,2019,-0.01148536293513377,0.01753098135196121,-0.04584608638497774,0.022875360514710202
Empleo total (log),Alta exposición,2021,0.0022159062911229453,0.012442531639759872,-0.0221714557228064,0.026603268305052292
Empleo total (log),Alta exposición,2022,0,0,0,0
Empleo total (log),Alta exposición,2023,-0.02306452927456449,0.012924227973028491,-0.04839601610170033,0.0022669575525713533
Empleo total (log),Alta exposición,2024,-0.013160744406721363,0.016872980381885897,-0.04623178595521772,0.01991029714177499
