quintil,ANIO,salario_medio_log,firmas,vs_2015
Q1 (menos expuestas),2015,10.30566832646169,965,0
Q1 (menos expuestas),2016,10.362957525128001,979,5.728919866631088
Q1 (menos expuestas),2017,10.418477783535124,991,11.28094570734337
Q1 (menos expuestas),2018,10.488932127610587,1000,18.326380114889673
Q1 (menos expuestas),2019,10.571794103596552,1001,26.612577713486196
Q1 (menos expuestas),2021,10.696415815703501,1010,39.07474892418108
Q1 (menos expuestas),2022,10.791931869795944,1020,48.626354333425326
Q1 (menos expuestas),2023,10.864408750598962,1003,55.87404241372713
Q1 (menos expuestas),2024,10.945644243362796,978,63.99759169011059
Q2,2015,10.044244585371246,963,0
Q2,2016,10.114645858216152,984,7.040127284490616
Q2,2017,10.172469199617264,995,12.822461424601883
Q2,2018,10.227863299645001,1002,18.361871427375576
Q2,2019,10.30848639017931,1004,26.424180480806392
Q2,2021,10.428499579079237,1012,38.42549937079909
Q2,2022,10.52947115558757,1022,48.522657021632476
Q2,2023,10.627163138856918,1003,58.29185534856727
Q2,2024,10.700481278388764,979,65.62366930175187
Q3,2015,9.94635401638759,968,0
Q3,2016,10.019265575306434,983,7.291155891884493
Q3,2017,10.053673126476893,994,10.73191100893034
Q3,2018,10.122163777577118,1001,17.58097611895284
Q3,2019,10.190099519136703,1002,24.3745502749114
Q3,2021,10.297151671380538,1016,35.07976549929488
Q3,2022,10.379256817161506,1017,43.290280077391685
Q3,2023,10.500679393345477,998,55.43253769578875
Q3,2024,10.58108654955514,951,63.47325331675506
Q4,2015,9.829898054461935,959,0
Q4,2016,9.898213985727965,985,6.831593126602975
Q4,2017,9.965253487054204,992,13.535543259226834
Q4,2018,10.011180429201765,999,18.128237473982978
Q4,2019,10.068474022154852,1004,23.85759676929169
Q4,2021,10.175529458603263,1011,34.563140414132754
Q4,2022,10.252220416821881,1020,42.23223623599459
Q4,2023,10.355467395329558,993,52.5569340867623
Q4,2024,10.459370308457018,939,62.947225399508255
Q5 (más expuestas),2015,9.769990671397686,951,0
Q5 (más expuestas),2016,9.82241073801296,986,5.242006661527476
Q5 (más expuestas),2017,9.878755545716357,996,10.876487431867154
Q5 (más expuestas),2018,9.914108283595526,1008,14.411761219784047
Q5 (más expuestas),2019,9.97473719314745,999,20.47465217497635
Q5 (más expuestas),2021,10.077849285202268,1011,30.78586138045818
Q5 (más expuestas),2022,10.097358057706453,1020,32.736738630876694
Q5 (más expuestas),2023,10.246664363955226,983,47.66736925575401
Q5 (más expuestas),2024,10.365720972401583,934,59.5730301003897
