resultado,referencia,quintil,coeficiente,error_estandar,p_valor,significancia,efecto_porcentual
Salario promedio (log),2022,Q2,0.019003970815113617,0.012017872778534956,0.11387075915001119,,1.9003970815113618
Salario promedio (log),2022,Q3,0.024862967039173928,0.012662724165149492,0.04964621814714146,**,2.4862967039173927
Salario promedio (log),2022,Q4,0.03732183053642013,0.0119546159682994,0.0018067861178538492,***,3.732183053642013
Salario promedio (log),2022,Q5 (más expuestas),0.05732705358653098,0.012785573963635678,7.499360956616791e-6,***,5.732705358653098
Salario promedio (log),promedio 2015-2019,Q2,0.02338232577993809,0.01305237578724304,0.07328606035903061,*,2.338232577993809
Salario promedio (log),promedio 2015-2019,Q3,0.011912753734082668,0.01409299796370568,0.39798618875432334,,1.1912753734082668
Salario promedio (log),promedio 2015-2019,Q4,0.027941775584219612,0.01416555773359936,0.048605998572639836,**,2.794177558421961
Salario promedio (log),promedio 2015-2019,Q5 (más expuestas),0.039289600502790345,0.0155306666263196,0.011443043774949788,**,3.9289600502790343
Empleo total (log),2022,Q2,-0.03162516797925663,0.01634575484099146,0.05307577730709324,*,-3.162516797925663
Empleo total (log),2022,Q3,-0.029064868273700268,0.01617847627908992,0.07247316555210973,*,-2.906486827370027
Empleo total (log),2022,Q4,-0.03977217465345487,0.016910723305803028,0.01871690590715885,**,-3.9772174653454866
Empleo total (log),2022,Q5 (más expuestas),-0.05365210633599413,0.01749028083674127,0.0021698658178616655,***,-5.365210633599413
Empleo total (log),promedio 2015-2019,Q2,0.009865811867142357,0.025138168585737187,0.6947325994593168,,0.9865811867142357
Empleo total (log),promedio 2015-2019,Q3,0.0014954299874551044,0.025493114360348467,0.9532251482671638,,0.14954299874551044
Empleo total (log),promedio 2015-2019,Q4,0.03852407694607149,0.02675738216228847,0.14999947086841778,,3.852407694607149
Empleo total (log),promedio 2015-2019,Q5 (más expuestas),0.024136638590347852,0.028382293888428056,0.3951369860533339,,2.413663859034785
