resultado,medida,ejercicio,quintil,efecto_porcentual,p_valor,significancia,firmas
Empleo total (log),A. Salario de la firma en 2022,Placebo (año sin choque: 2019),Q2,2.6305925877272127,0.11458027777092757,,4687
Empleo total (log),A. Salario de la firma en 2022,Real (choque de 2023),Q2,0.7058962757002841,0.6457189673252706,,5099
Empleo total (log),A. Salario de la firma en 2022,Placebo (año sin choque: 2019),Q3,1.5630467406449382,0.33211833346487907,,4687
Empleo total (log),A. Salario de la firma en 2022,Real (choque de 2023),Q3,-3.4864305624288745,0.053938088051928255,*,5099
Empleo total (log),A. Salario de la firma en 2022,Placebo (año sin choque: 2019),Q4,3.677416045353074,0.025760490947956866,**,4687
Empleo total (log),A. Salario de la firma en 2022,Real (choque de 2023),Q4,-3.7822662342238953,0.03630450924064136,**,5099
Empleo total (log),A. Salario de la firma en 2022,Placebo (año sin choque: 2019),Q5 (más expuestas),3.461787959907626,0.050569098457048545,*,4687
Empleo total (log),A. Salario de la firma en 2022,Real (choque de 2023),Q5 (más expuestas),-3.7153204571342844,0.035408236910923936,**,5099
Empleo total (log),B. Salario promediado 2019-2022,Placebo (año sin choque: 2019),Q2,1.8804606012467848,0.271256204661471,,4585
Empleo total (log),B. Salario promediado 2019-2022,Real (choque de 2023),Q2,-2.6058951024005634,0.1198299956265648,,4992
Empleo total (log),B. Salario promediado 2019-2022,Placebo (año sin choque: 2019),Q3,1.803844099313034,0.2569562659450743,,4585
Empleo total (log),B. Salario promediado 2019-2022,Real (choque de 2023),Q3,-4.120159907406854,0.011543135913565827,**,4992
Empleo total (log),B. Salario promediado 2019-2022,Placebo (año sin choque: 2019),Q4,3.2518380367398523,0.06312107084567273,*,4585
Empleo total (log),B. Salario promediado 2019-2022,Real (choque de 2023),Q4,-4.429111251987337,0.008718157862080985,***,4992
Empleo total (log),B. Salario promediado 2019-2022,Placebo (año sin choque: 2019),Q5 (más expuestas),1.8857953067271647,0.27683080309330516,,4585
Empleo total (log),B. Salario promediado 2019-2022,Real (choque de 2023),Q5 (más expuestas),-5.2853997333891325,0.0024043968734072385,***,4992
Empleo total (log),C. Salario de firmas parecidas,Placebo (año sin choque: 2019),Q2,-1.9762477816734927,0.24189910854511845,,2839
Empleo total (log),C. Salario de firmas parecidas,Real (choque de 2023),Q2,-4.073262270478053,0.017542245896132545,**,3155
Empleo total (log),C. Salario de firmas parecidas,Placebo (año sin choque: 2019),Q3,0.004810985451374206,0.9981617732845786,,2839
Empleo total (log),C. Salario de firmas parecidas,Real (choque de 2023),Q3,-5.110488111249658,0.008668104450645227,***,3155
Empleo total (log),C. Salario de firmas parecidas,Placebo (año sin choque: 2019),Q4,0.25250282194417134,0.9137884259983959,,2839
Empleo total (log),C. Salario de firmas parecidas,Real (choque de 2023),Q4,-0.730722551095072,0.7380903661658111,,3155
Empleo total (log),C. Salario de firmas parecidas,Placebo (año sin choque: 2019),Q5 (más expuestas),2.4011918315926843,0.37652666676736435,,2839
Empleo total (log),C. Salario de firmas parecidas,Real (choque de 2023),Q5 (más expuestas),-3.9498320828349422,0.113767237582628,,3155
