medida,quintil,coeficiente,error_estandar,p_valor,significancia
Bite (exp. 2022),1,0,0,NA,ref
Bite (exp. 2022),2,0.030460677231254542,0.013438556908579218,0.0234558739926132,**
Bite (exp. 2022),3,0.05969917770692269,0.014304871149855406,3.0555700949468805e-5,***
Bite (exp. 2022),4,0.05025178482725907,0.015142406390655692,9.115103923844282e-4,***
Bite (exp. 2022),5,0.08215598783551804,0.01523455399888403,7.277586550160881e-8,***
Golpe C (exp. 2022),1,0,0,NA,ref
Golpe C (exp. 2022),2,0.048835580763603975,0.012337334678752632,7.642982430076267e-5,***
Golpe C (exp. 2022),3,0.05789890528284413,0.012141221966681118,1.9017678513605465e-6,***
Golpe C (exp. 2022),4,0.08075668981638492,0.012871061941995995,3.7841540842447265e-10,***
Golpe C (exp. 2022),5,0.1022897286350136,0.014393343744699246,1.341236277081632e-12,***
"Bite (exp. 2019, limpia)",1,0,0,NA,ref
"Bite (exp. 2019, limpia)",2,6.034432499266917e-4,0.0129462721968716,0.9628254709234105,
"Bite (exp. 2019, limpia)",3,0.026783309511583052,0.013827112722067538,0.05281880141293334,*
"Bite (exp. 2019, limpia)",4,0.027374656786890734,0.013815132159226896,0.04760850558960626,**
"Bite (exp. 2019, limpia)",5,0.02270132944122409,0.012943922234774984,0.079542930551619,*
"Golpe C (exp. 2019, limpia)",1,0,0,NA,ref
"Golpe C (exp. 2019, limpia)",2,0.007756383834104777,0.010598224306735552,0.46428826554663727,
"Golpe C (exp. 2019, limpia)",3,0.04075777647628889,0.012349440837774582,9.719439971559167e-4,***
"Golpe C (exp. 2019, limpia)",4,0.03438258563208071,0.013630191103222276,0.011680397186729388,**
"Golpe C (exp. 2019, limpia)",5,0.023343617735390003,0.013882959340887603,0.09273285002074932,*
