ANIO,exposicion,mediana_veces_minimo,debajo_del_minimo,mas_de_10_minimos
2015,Baja exposición,3.094734795330964,2,35
2015,Alta exposición,2.289358005820173,2,6
2016,Baja exposición,3.0764707390351096,8,43
2016,Alta exposición,2.283136510781611,5,7
2017,Baja exposición,3.0691192984321654,4,35
2017,Alta exposición,2.255494541493102,5,3
2018,Baja exposición,3.09395506896122,4,28
2018,Alta exposición,2.234431769470208,6,3
2019,Baja exposición,3.16836051364945,1,35
2019,Alta exposición,2.246699469371172,9,8
2021,Baja exposición,3.1992322886584583,1,48
2021,Alta exposición,2.224283282220224,17,13
2022,Baja exposición,3.2073980362537764,1,30
2022,Alta exposición,2.1802712121212124,16,8
2023,Baja exposición,3.004043941570881,4,28
2023,Alta exposición,2.1260563005534268,14,3
2024,Baja exposición,2.964661826268969,1,18
2024,Alta exposición,2.1004057039438395,9,1
