NORDEMP,C3R2C1,personal_permanente_obrero,salario_promedio_obrero
141501,4965,1,4965
144698,2417,1,2417
145418,5391,1,5391
145902,6497,1,6497
146564,3232,1,3232
866342,6840,1,6840
985942,2620,1,2620
427354,5531,2,2765.5
981249,10650,2,5325
984019,11885,2,5942.5
144200,26567,4,6641.75
978536,9280,4,2320
981654,31837,5,6367.4
982492,29260,5,5852
144940,39700,6,6616.666666666667
366934,69118,12,5759.833333333333
982506,42689,13,3283.769230769231
144128,78083,14,5577.357142857143
142815,87717,17,5159.823529411765
866452,127593,20,6379.65
975918,97574,21,4646.380952380952
367208,254110,38,6687.105263157895
977297,396936,64,6202.125
