Estadístico,Exposure2022_obreros,Bite2022_obreros,Bite2022_obreros_wins
Media,0.6020560054773233,0.8580691108931475,0.8509499873353439
DE,0.22643585348808778,0.3056307695330325,0.2530781288329933
Mín,0,0.09196252791247704,0.2552102335499303
P25,0.4716981132075472,0.6769667747916339,0.6769667747916339
Mediana,0.631578947368421,0.8609076274631767,0.8609076274631767
P75,0.7692307692307693,1.0357142857142858,1.0357142857142858
Máx,1,6,1.6115748888355956
pct_en_0,0.028802588996763755,0,0
pct_en_1,0.020064724919093852,0.003922337713277113,0.003922337713277113
N_valido,6180,5099,5099
N_faltante,6,1087,1087
