exposicion,ANIO,firmas,empleo,ventas,produccion,valor_agregado,salario,productividad,indice_empleo,indice_ventas,indice_produccion,indice_valor_agregado,indice_salario,indice_productividad
Baja exposición,2015,2412,71,9311159,9285475,3914030,23929.10838445808,56869.77397260274,100,100,100,100,100,100
Baja exposición,2016,2454,74,10230026,10587532.5,4376401.5,25453.05760057742,60759.82463768116,104.2,109.9,114,111.8,106.4,106.8
Baja exposición,2017,2483,75,10633032,10786286,4377206,27169.69777777778,60798.182186234815,105.6,114.2,116.2,111.8,113.5,106.9
Baja exposición,2018,2504,75,11423777.5,11247204,4791475.5,29005.53175182482,63398.08888888889,105.6,122.7,121.1,122.4,121.2,111.5
Baja exposición,2019,2510,77,11808390.5,11873112,5398758,31485.24042145594,68873.29545454546,108.5,126.8,127.9,137.9,131.6,121.1
Baja exposición,2021,2529,77,14113075,14402983,6538964,34879.02857142857,85371.88888888889,108.5,151.6,155.1,167.1,145.8,150.1
Baja exposición,2022,2550,80,18513440,19491598,8225796,38488.776435045314,103257.68788114701,112.7,198.8,209.9,210.2,160.8,181.6
Baja exposición,2023,2506,79,18095779,18813687,8501520,41816.291666666664,103795.83095037847,111.3,194.3,202.6,217.2,174.8,182.5
Baja exposición,2024,2437,81,18763705,19071534,8842020,46248.72448979592,104804.91764705883,114.1,201.5,205.4,225.9,193.3,184.3
Alta exposición,2015,2394,29,2265901.5,2279334.5,1029022,17701.77397260274,36012.11352941177,100,100,100,100,100,100
Alta exposición,2016,2463,29,2353996,2394842,1042066,18889.43859649123,37641.05714285714,100,103.9,105.1,101.3,106.7,104.5
Alta exposición,2017,2485,29,2244486,2301525,1037726,19967,36976.705882352944,100,99.1,101,100.8,112.8,102.7
Alta exposición,2018,2506,28,2322186,2365904.5,1061676.5,20947.583333333332,38457.892857142855,96.6,102.5,103.8,103.2,118.3,106.8
Alta exposición,2019,2500,29,2485908.5,2437306.5,1116503.5,22326.333333333332,40819.13636363636,100,109.7,106.9,108.5,126.1,113.3
Alta exposición,2021,2531,28,2596000,2621382,1192768,24249.830319148936,44981.39454545455,96.6,114.6,115,115.9,137,124.9
Alta exposición,2022,2549,29,3088720,3067997,1359775,26163.254545454547,50744.51515151515,100,136.3,134.6,132.1,147.8,140.9
Alta exposición,2023,2474,28,3209331.5,3176872.5,1444753,29594.703703703704,54215.545454545456,96.6,141.6,139.4,140.4,167.2,150.5
Alta exposición,2024,2344,28,3442576.5,3399497,1551869.5,32766.328981523897,57439.536312662705,96.6,151.9,149.1,150.8,185.1,159.5
