exposicion,ANIO,costo_laboral_sobre_produccion,costo_laboral_sobre_va,inversion_sobre_activos
Baja exposición,2015,18.078435405466777,41.93943300461384,5.294020313906136
Baja exposición,2016,18.768717263819145,42.17120451922648,6.007364787789873
Baja exposición,2017,19.926005692561628,44.398589687517,4.943596333239876
Baja exposición,2018,19.424404554758986,44.274059177764265,4.394295614377895
Baja exposición,2019,20.35872937181874,44.93030173741967,4.7314815739913945
Baja exposición,2021,18.77473856835346,41.9255315543942,3.715727721715448
Baja exposición,2022,16.723007296680308,37.76392795360631,5.078776628440279
Baja exposición,2023,18.58340053316432,41.450988708392586,4.5259469607701295
Baja exposición,2024,20.452896419824192,44.28891608313366,4.492235690802638
Alta exposición,2015,23.11663091024299,52.014203538811735,2.9020489364643374
Alta exposición,2016,23.74935785657953,52.64728630692427,2.5628776888336704
Alta exposición,2017,25.640815390599148,55.6749537819415,1.4268817183553524
Alta exposición,2018,25.763451311139118,55.8654832112627,1.5541024237053283
Alta exposición,2019,25.972087044307834,55.853604741881114,1.5606709533418996
Alta exposición,2021,25.49758157948057,55.61129393719374,0.6896204732017245
Alta exposición,2022,24.10990404485614,53.02573047030566,0.7613377361552811
Alta exposición,2023,25.8594611887125,55.90399355934756,0.6974641837050133
Alta exposición,2024,27.39311150395003,59.141661711217836,0.9120170915257779
