exposicion,ANIO,permanentes,temporales,agencias,obreros
Baja exposición,2015,80,16.513761467889907,0,37.5
Baja exposición,2016,79.93055555555556,16.603053435114504,0,37.140771827388015
Baja exposición,2017,78.94736842105263,17.813765182186234,0.5434782608695652,36.36363636363637
Baja exposición,2018,78.48101265822785,18.51851851851852,1.2739370334307045,36.913919413919416
Baja exposición,2019,76.92307692307692,19.636243386243386,1.4742103738046943,36.971411554496726
Baja exposición,2021,77.98861480075901,19.402985074626866,1.4184397163120568,36.57142857142857
Baja exposición,2022,77.44841615809358,20.39869316243919,1.7391304347826086,36.15308491607354
Baja exposición,2023,78.82269491251185,18.181818181818183,0.8850250626566416,36.2962962962963
Baja exposición,2024,79.53216374269006,17.647058823529413,0,36.64259927797834
Alta exposición,2015,94.73684210526316,0,0,50
Alta exposición,2016,94.5945945945946,0,0,49.59349593495935
Alta exposición,2017,94.11764705882354,0,0,50
Alta exposición,2018,94.44444444444444,0,0,50
Alta exposición,2019,94.44444444444444,0,0,50
Alta exposición,2021,95.71428571428571,0,0,51.724137931034484
Alta exposición,2022,96.3963963963964,0,0,53.246753246753244
Alta exposición,2023,95.89041095890411,0,0,51.515151515151516
Alta exposición,2024,95.65217391304348,0,0,50
