exposicion,ANIO,crecimiento_empleo,crecimiento_ventas,firmas
Baja exposición,2016,0.8929283265566412,7.770653932753346,2408
Baja exposición,2017,0,1.1555864256501902,2453
Baja exposición,2018,0,5.211476320816577,2480
Baja exposición,2019,0,6.089344785672068,2499
Baja exposición,2022,3.1088082901554515,24.88352453114988,2529
Baja exposición,2023,0,1.973135526767289,2506
Baja exposición,2024,0,-0.6801877003206669,2437
Alta exposición,2016,0,7.449965908635137,2386
Alta exposición,2017,0,0.4062163442591915,2458
Alta exposición,2018,0,3.739204378329819,2482
Alta exposición,2019,0,5.078843262492261,2491
Alta exposición,2022,0,19.41336295993985,2531
Alta exposición,2023,0,3.4883751245281203,2474
Alta exposición,2024,0,-0.0030518078793229098,2338
