ANIO,minimo,auxilio,costo_minimo,factor_carga
2015,644350,74000,990872.3709999999,1.5377859408706447
2016,689455,77700,1058492.7703,1.5352601261866257
2017,737717,83140,1132588.6512199999,1.5352616941455868
2018,781242,88211,1199605.9663200001,1.5355113605259318
2019,828116,97032,1275733.03976,1.5405245639016758
2020,877803,102854,1352277.17238,1.5405246648507693
2021,908526,106454,1399606.85556,1.5405248232411621
2022,1000000,117172,1540524.5752,1.5405245752
2023,1160000,140606,1792522.6195999999,1.5452781203448274
2024,1300000,162000,2014067.2,1.5492824615384615
