outcome,medida,controles,beta,ee,p,n_obs,n_firmas
empleo_total,exposure_de,base2022,1.7244394969916754,1.0025674300916618,0.08547825823346404,54014,6179
empleo_total,exposure_de,contemporaneos,1.1107296130604845,0.8772528300368052,0.20550877970441406,54013,6179
empleo_total,bite_de,base2022,-1.7279307994131738,1.3428505781515052,0.1982352500277126,44630,5098
empleo_total,bite_de,contemporaneos,-2.6533049070985446,1.187740787523254,0.025532263206221862,44627,5098
empleo_permanente,exposure_de,base2022,1.1508734919574586,0.7041170109508075,0.10220657231167729,54014,6179
empleo_permanente,exposure_de,contemporaneos,0.9483144435779498,0.6472426164765995,0.1429279667596301,54013,6179
empleo_permanente,bite_de,base2022,1.381584614736775,1.0391257172153094,0.18372131715082674,44630,5098
empleo_permanente,bite_de,contemporaneos,0.5090883003197593,0.9880852234933533,0.6064166662353987,44627,5098
empleo_temporal,exposure_de,base2022,0.5467601528257282,0.5809805034106496,0.3466909393665243,54014,6179
empleo_temporal,exposure_de,contemporaneos,0.16569701483543695,0.5449983608084019,0.7611136487921366,54013,6179
empleo_temporal,bite_de,base2022,-3.0787758781119128,0.798077740615178,1.1585325732794169e-4,44630,5098
empleo_temporal,bite_de,contemporaneos,-3.0955267658727137,0.743492156525554,3.1858391685149666e-5,44627,5098
participacion_permanente,exposure_de,base2022,-0.4624073014406882,0.2874856541698884,0.10778699301634172,53991,6179
participacion_permanente,exposure_de,contemporaneos,-0.4168200861908107,0.2850809573879414,0.1437615792459069,53990,6179
participacion_permanente,bite_de,base2022,1.4915864250813278,0.349737297723078,2.036325566604365e-5,44615,5098
participacion_permanente,bite_de,contemporaneos,1.2884530620078147,0.34845801038911567,2.1994939306407797e-4,44612,5098
