medida,particion,variable,term,grupo,estimate,std.error,statistic,p.value,conf.low,conf.high,grupo_base_omitido
Exposure2022_obreros,Terciles,empleo_total,tercil_exposure2022_obreros::T2 - Media:post_2023,T2 - Media,2.215772,2.075156,1.0678,0.2857,-1.852256,6.283799,T1 - Baja (ref.)
Exposure2022_obreros,Terciles,empleo_total,tercil_exposure2022_obreros::T3 - Alta:post_2023,T3 - Alta,2.549319,2.041092,1.249,0.2117,-1.451931,6.55057,T1 - Baja (ref.)
Exposure2022_obreros,Terciles,empleo_permanente,tercil_exposure2022_obreros::T2 - Media:post_2023,T2 - Media,2.583737,1.711133,1.51,0.1311,-0.770679,5.938154,T1 - Baja (ref.)
Exposure2022_obreros,Terciles,empleo_permanente,tercil_exposure2022_obreros::T3 - Alta:post_2023,T3 - Alta,1.407275,1.736317,0.8105,0.4177,-1.99651,4.81106,T1 - Baja (ref.)
Exposure2022_obreros,Terciles,empleo_temporal,tercil_exposure2022_obreros::T2 - Media:post_2023,T2 - Media,-0.354443,1.436471,-0.2467,0.8051,-3.170426,2.46154,T1 - Baja (ref.)
Exposure2022_obreros,Terciles,empleo_temporal,tercil_exposure2022_obreros::T3 - Alta:post_2023,T3 - Alta,1.086435,1.471533,0.7383,0.4604,-1.798282,3.971152,T1 - Baja (ref.)
Exposure2022_obreros,Terciles,participacion_permanente,tercil_exposure2022_obreros::T2 - Media:post_2023,T2 - Media,-0.944295,0.719347,-1.3127,0.1893,-2.354465,0.465876,T1 - Baja (ref.)
Exposure2022_obreros,Terciles,participacion_permanente,tercil_exposure2022_obreros::T3 - Alta:post_2023,T3 - Alta,-0.754538,0.811615,-0.9297,0.3526,-2.345586,0.83651,T1 - Baja (ref.)
Exposure2022_obreros,Quintiles,empleo_total,quintil_exposure2022_obreros::Q2 - Baja:post_2023,Q2 - Baja,-1.330998,2.529248,-0.5262,0.5987,-6.289205,3.627209,Q1 - Muy baja (ref.)
Exposure2022_obreros,Quintiles,empleo_total,quintil_exposure2022_obreros::Q3 - Media:post_2023,Q3 - Media,5.854639,2.837722,2.0631,0.03914,0.291717,11.417561,Q1 - Muy baja (ref.)
Exposure2022_obreros,Quintiles,empleo_total,quintil_exposure2022_obreros::Q4 - Alta:post_2023,Q4 - Alta,-2.164744,2.689283,-0.805,0.4209,-7.436675,3.107188,Q1 - Muy baja (ref.)
Exposure2022_obreros,Quintiles,empleo_total,quintil_exposure2022_obreros::Q5 - Muy alta:post_2023,Q5 - Muy alta,5.865674,2.836436,2.068,0.03868,0.305273,11.426075,Q1 - Muy baja (ref.)
Exposure2022_obreros,Quintiles,empleo_permanente,quintil_exposure2022_obreros::Q2 - Baja:post_2023,Q2 - Baja,-0.505683,1.898813,-0.2663,0.79,-4.228018,3.216652,Q1 - Muy baja (ref.)
Exposure2022_obreros,Quintiles,empleo_permanente,quintil_exposure2022_obreros::Q3 - Media:post_2023,Q3 - Media,4.12302,2.251306,1.8314,0.06709,-0.290323,8.536363,Q1 - Muy baja (ref.)
Exposure2022_obreros,Quintiles,empleo_permanente,quintil_exposure2022_obreros::Q4 - Alta:post_2023,Q4 - Alta,-0.861794,2.161802,-0.3986,0.6902,-5.099677,3.37609,Q1 - Muy baja (ref.)
