variable,anio_excluido,estimate,std_error,p_value,significativo,n_obs
asinh_C3R23C3,2015,0.097625,0.029074,7.914e-4,TRUE,39823
asinh_C3R23C3,2016,0.074163,0.030665,0.01562,TRUE,39710
asinh_C3R23C3,2017,0.067389,0.033423,0.04383,TRUE,39660
asinh_C3R23C3,2018,0.070802,0.031825,0.02614,TRUE,39617
asinh_C3R23C3,2019,0.074769,0.031151,0.01642,TRUE,39617
asinh_C3R23C3,2021,0.071562,0.037831,0.0586,FALSE,39565
asinh_C3R23C3,2022,0.017934,0.049179,0.7154,FALSE,39526
asinh_C3R23C3,2023,0.0884,0.038189,0.02066,TRUE,39646
asinh_C3R23C3,2024,0.058124,0.030402,0.05595,FALSE,39846
asinh_VALORVEN,2015,0.051873,0.012456,3.171e-5,TRUE,39823
asinh_VALORVEN,2016,0.047076,0.012646,1.993e-4,TRUE,39710
asinh_VALORVEN,2017,0.04612,0.01273,2.94e-4,TRUE,39660
asinh_VALORVEN,2018,0.046651,0.012434,1.774e-4,TRUE,39617
asinh_VALORVEN,2019,0.048366,0.012002,5.665e-5,TRUE,39617
asinh_VALORVEN,2021,0.052053,0.012644,3.9e-5,TRUE,39565
asinh_VALORVEN,2022,0.019094,0.017659,0.2796,FALSE,39526
asinh_VALORVEN,2023,0.064966,0.016121,5.66e-5,TRUE,39646
asinh_VALORVEN,2024,0.033106,0.012317,0.007215,TRUE,39846
