medida,variable,beta,con_controles,n_obs,termino_regresion,estimate,std_error,p_value,significativo
Exposure2022_obreros_est,empleo_total,beta1,FALSE,45945,post_2022:exposicion_10pp,0.404065,0.37736,0.2843,FALSE
Exposure2022_obreros_est,empleo_total,beta2,FALSE,45945,post_2022:exposicion_10pp:Multi_f,-0.181528,1.469068,0.9017,FALSE
Exposure2022_obreros_est,empleo_total,beta3,FALSE,45945,post_2022:Multi_f,1.599341,9.85749,0.8711,FALSE
Exposure2022_obreros_est,empleo_total,beta1,TRUE,45944,post_2022:exposicion_10pp,0.57547,0.335522,0.08637,FALSE
Exposure2022_obreros_est,empleo_total,beta2,TRUE,45944,post_2022:exposicion_10pp:Multi_f,0.507664,1.354669,0.7079,FALSE
Exposure2022_obreros_est,empleo_total,beta3,TRUE,45944,post_2022:Multi_f,-9.660154,9.927027,0.3305,FALSE
Exposure2022_obreros_est,empleo_permanente,beta1,FALSE,45945,post_2022:exposicion_10pp,-0.310855,0.226535,0.17,FALSE
Exposure2022_obreros_est,empleo_permanente,beta2,FALSE,45945,post_2022:exposicion_10pp:Multi_f,0.094747,1.113259,0.9322,FALSE
Exposure2022_obreros_est,empleo_permanente,beta3,FALSE,45945,post_2022:Multi_f,0.968539,6.964317,0.8894,FALSE
Exposure2022_obreros_est,empleo_permanente,beta1,TRUE,45944,post_2022:exposicion_10pp,-0.013855,0.228778,0.9517,FALSE
Exposure2022_obreros_est,empleo_permanente,beta2,TRUE,45944,post_2022:exposicion_10pp:Multi_f,0.408536,0.961002,0.6708,FALSE
Exposure2022_obreros_est,empleo_permanente,beta3,TRUE,45944,post_2022:Multi_f,-5.652333,6.496427,0.3843,FALSE
Exposure2022_obreros_est,empleo_temporal,beta1,FALSE,45945,post_2022:exposicion_10pp,0.735452,0.280471,0.008758,TRUE
Exposure2022_obreros_est,empleo_temporal,beta2,FALSE,45945,post_2022:exposicion_10pp:Multi_f,-0.091268,0.839569,0.9134,FALSE
Exposure2022_obreros_est,empleo_temporal,beta3,FALSE,45945,post_2022:Multi_f,-0.375028,5.319722,0.9438,FALSE
Exposure2022_obreros_est,empleo_temporal,beta1,TRUE,45944,post_2022:exposicion_10pp,0.601486,0.284086,0.03428,TRUE
Exposure2022_obreros_est,empleo_temporal,beta2,TRUE,45944,post_2022:exposicion_10pp:Multi_f,0.293379,0.832201,0.7244,FALSE
