medida,variable,estimate,std_error,p_value,significativo,n_obs,con_controles
Exposure2022_obreros,asinh_C3R23C3,0.00634,0.011749,0.5895,FALSE,42214,FALSE
Exposure2022_obreros,asinh_C3R23C3,0.019597,0.013515,0.1471,FALSE,42213,TRUE
Exposure2022_obreros,asinh_C3R41C3,-0.002625,0.024974,0.9163,FALSE,42214,FALSE
Exposure2022_obreros,asinh_C3R41C3,-0.020344,0.027707,0.4628,FALSE,42213,TRUE
Exposure2022_obreros,asinh_C7R10C2,-0.044002,0.026789,0.1005,FALSE,42214,FALSE
Exposure2022_obreros,asinh_C7R10C2,-0.051458,0.029266,0.07875,FALSE,42213,TRUE
Exposure2022_obreros,asinh_VALORVEN,0.003671,0.00449,0.4136,FALSE,42214,FALSE
Exposure2022_obreros,asinh_VALORVEN,0.010601,0.004213,0.01188,TRUE,42213,TRUE
Bite2022_obreros,asinh_C3R23C3,-0.190923,0.031965,2.49e-9,TRUE,34846,FALSE
Bite2022_obreros,asinh_C3R23C3,-0.148951,0.036258,4.053e-5,TRUE,34843,TRUE
Bite2022_obreros,asinh_C3R41C3,-0.328433,0.062555,1.58e-7,TRUE,34846,FALSE
Bite2022_obreros,asinh_C3R41C3,-0.310342,0.069312,7.718e-6,TRUE,34843,TRUE
Bite2022_obreros,asinh_C7R10C2,-0.407131,0.077821,1.747e-7,TRUE,34846,FALSE
Bite2022_obreros,asinh_C7R10C2,-0.202018,0.083423,0.01549,TRUE,34843,TRUE
Bite2022_obreros,asinh_VALORVEN,-0.144549,0.012567,3.0509999999999996e-30,TRUE,34846,FALSE
Bite2022_obreros,asinh_VALORVEN,-0.094261,0.012917,3.384e-13,TRUE,34843,TRUE
