ANIO,variable,pct_na,pct_cero
2008,obreros_permanentes,0,21.49
2009,obreros_permanentes,0,22.03
2010,obreros_permanentes,0,23.65
2011,obreros_permanentes,0,24.39
2012,obreros_permanentes,0,23.39
2013,obreros_permanentes,0,22.28
2014,obreros_permanentes,0,22.18
2015,obreros_permanentes,0,21.49
2016,obreros_permanentes,0,19.39
2017,obreros_permanentes,0,18.77
2018,obreros_permanentes,0,18.45
2019,obreros_permanentes,0,17.81
2020,obreros_permanentes,0,17.86
2021,obreros_permanentes,0,18.25
2022,obreros_permanentes,0,17.51
2023,obreros_permanentes,0,17.23
2024,obreros_permanentes,0,16.99
2008,obreros_total_ocupado,0,3.66
2009,obreros_total_ocupado,0,3.64
2010,obreros_total_ocupado,0,3.94
2011,obreros_total_ocupado,0,4.24
2012,obreros_total_ocupado,0,3.91
2013,obreros_total_ocupado,0,3.39
2014,obreros_total_ocupado,0,3.34
2015,obreros_total_ocupado,0,3.49
2016,obreros_total_ocupado,0,2.86
2017,obreros_total_ocupado,0,2.93
2018,obreros_total_ocupado,0,2.87
2019,obreros_total_ocupado,0,2.92
2020,obreros_total_ocupado,0,3.27
2021,obreros_total_ocupado,0,3.27
2022,obreros_total_ocupado,0,2.97
2023,obreros_total_ocupado,0,2.79
2024,obreros_total_ocupado,0,2.73
2008,obreros_temporal_directo,0,65.03
2009,obreros_temporal_directo,0,63.95
2010,obreros_temporal_directo,0,63.02
2011,obreros_temporal_directo,0,64.85
2012,obreros_temporal_directo,0,63.54
2013,obreros_temporal_directo,0,62.23
2014,obreros_temporal_directo,0,62.72
2015,obreros_temporal_directo,0,62.61
2016,obreros_temporal_directo,0,61.21
2017,obreros_temporal_directo,0,60.78
2018,obreros_temporal_directo,0,59.25
2019,obreros_temporal_directo,0,58.52
2020,obreros_temporal_directo,0,58.72
2021,obreros_temporal_directo,0,58.21
2022,obreros_temporal_directo,0,57.94
2023,obreros_temporal_directo,0,57.69
2024,obreros_temporal_directo,0,58.16
2008,obreros_temporal_agencias,0,67.1
2009,obreros_temporal_agencias,0,70.41
2010,obreros_temporal_agencias,0,72.6
2011,obreros_temporal_agencias,0,74.42
2012,obreros_temporal_agencias,0,75.38
2013,obreros_temporal_agencias,0,74.95
2014,obreros_temporal_agencias,0,74.97
2015,obreros_temporal_agencias,0,74.37
2016,obreros_temporal_agencias,0,72.38
2017,obreros_temporal_agencias,0,72.14
2018,obreros_temporal_agencias,0,71.83
2019,obreros_temporal_agencias,0,71.39
2020,obreros_temporal_agencias,0,72.19
2021,obreros_temporal_agencias,0,71.47
2022,obreros_temporal_agencias,0,69.88
2023,obreros_temporal_agencias,0,69.77
2024,obreros_temporal_agencias,0,70.02
2008,obreros_aprendices,0,78.15
2009,obreros_aprendices,0,82.12
2010,obreros_aprendices,0,83.35
2011,obreros_aprendices,0,82.78
2012,obreros_aprendices,0,82.91
2013,obreros_aprendices,0,82.49
2014,obreros_aprendices,0,81.56
2015,obreros_aprendices,0,81.3
2016,obreros_aprendices,0,79.59
2017,obreros_aprendices,0,78.75
2018,obreros_aprendices,0,77.83
2019,obreros_aprendices,0,76.69
2020,obreros_aprendices,0,78.6
2021,obreros_aprendices,0,79.98
2022,obreros_aprendices,0,79.66
2023,obreros_aprendices,0,79.33
2024,obreros_aprendices,0,77.45
2008,sueldos_permanentes_obreros_c3r2c1,0,21.41
2009,sueldos_permanentes_obreros_c3r2c1,0,22.06
2010,sueldos_permanentes_obreros_c3r2c1,0,23.51
2011,sueldos_permanentes_obreros_c3r2c1,0,24.29
2012,sueldos_permanentes_obreros_c3r2c1,0,23.32
2013,sueldos_permanentes_obreros_c3r2c1,0,22.23
2014,sueldos_permanentes_obreros_c3r2c1,0,22.12
2015,sueldos_permanentes_obreros_c3r2c1,0,21.43
2016,sueldos_permanentes_obreros_c3r2c1,0,19.41
2017,sueldos_permanentes_obreros_c3r2c1,0,18.77
2018,sueldos_permanentes_obreros_c3r2c1,0,18.47
2019,sueldos_permanentes_obreros_c3r2c1,0,17.77
2020,sueldos_permanentes_obreros_c3r2c1,0.03,18.02
2021,sueldos_permanentes_obreros_c3r2c1,0,18.25
2022,sueldos_permanentes_obreros_c3r2c1,0,17.43
2023,sueldos_permanentes_obreros_c3r2c1,0,17.14
2024,sueldos_permanentes_obreros_c3r2c1,0,16.89
2008,costos_totales_personal_total_c3r10c3,0,0.52
2009,costos_totales_personal_total_c3r10c3,0,0.54
2010,costos_totales_personal_total_c3r10c3,0,0.57
2011,costos_totales_personal_total_c3r10c3,0,0.67
2012,costos_totales_personal_total_c3r10c3,0,0.64
2013,costos_totales_personal_total_c3r10c3,0,0.53
2014,costos_totales_personal_total_c3r10c3,0,0.43
2015,costos_totales_personal_total_c3r10c3,0,0.41
2016,costos_totales_personal_total_c3r10c3,0,0.24
2017,costos_totales_personal_total_c3r10c3,0,0.2
2018,costos_totales_personal_total_c3r10c3,0,0.14
2019,costos_totales_personal_total_c3r10c3,0,0.2
2020,costos_totales_personal_total_c3r10c3,0.03,0.28
2021,costos_totales_personal_total_c3r10c3,0,0.18
2022,costos_totales_personal_total_c3r10c3,0,0.1
2023,costos_totales_personal_total_c3r10c3,0,0.1
2024,costos_totales_personal_total_c3r10c3,0,0.17
2008,salario_integral_total_c3r1c3,0,77.09
2009,salario_integral_total_c3r1c3,0,79.85
2010,salario_integral_total_c3r1c3,0,81.35
2011,salario_integral_total_c3r1c3,0,82.3
2012,salario_integral_total_c3r1c3,0,81.24
2013,salario_integral_total_c3r1c3,0,80.66
2014,salario_integral_total_c3r1c3,0,80.77
2015,salario_integral_total_c3r1c3,0,80.18
2016,salario_integral_total_c3r1c3,0,77.88
2017,salario_integral_total_c3r1c3,0,77.25
2018,salario_integral_total_c3r1c3,0,76.58
2019,salario_integral_total_c3r1c3,0,75.96
2020,salario_integral_total_c3r1c3,100,NA
2021,salario_integral_total_c3r1c3,100,NA
2022,salario_integral_total_c3r1c3,100,NA
2023,salario_integral_total_c3r1c3,100,NA
2024,salario_integral_total_c3r1c3,100,NA
2008,impuesto_renta_equidad_total_c3r20c3,100,NA
2009,impuesto_renta_equidad_total_c3r20c3,100,NA
2010,impuesto_renta_equidad_total_c3r20c3,100,NA
2011,impuesto_renta_equidad_total_c3r20c3,100,NA
2012,impuesto_renta_equidad_total_c3r20c3,100,NA
2013,impuesto_renta_equidad_total_c3r20c3,0,36
2014,impuesto_renta_equidad_total_c3r20c3,0,28
2015,impuesto_renta_equidad_total_c3r20c3,0,23.6
2016,impuesto_renta_equidad_total_c3r20c3,0,22.07
2017,impuesto_renta_equidad_total_c3r20c3,0,96.21
2018,impuesto_renta_equidad_total_c3r20c3,0,100
2019,impuesto_renta_equidad_total_c3r20c3,0,100
2020,impuesto_renta_equidad_total_c3r20c3,0.03,99.84
2021,impuesto_renta_equidad_total_c3r20c3,0,100
2022,impuesto_renta_equidad_total_c3r20c3,0,100
2023,impuesto_renta_equidad_total_c3r20c3,0,100
2024,impuesto_renta_equidad_total_c3r20c3,0,100
