variable,etiqueta,codigo_eam,categoria_ocupacional,unidad,periodicidad,poblacion,definicion,anios_disponibles,pct_faltantes,pct_ceros,fuente,formula,notas
NORDEMP,Identificador de firma,NORDEMP,NA,id,anual,no_aplica,Identificador panel de la firma.,2008-2024,0,NA,original,NORDEMP,
ANIO,Año de la encuesta,ANIO,NA,anio,anual,no_aplica,Año EAM.,2008-2024,0,0,original,ANIO,
CIIU4,Codigo CIIU 4 digitos,CIIU4,NA,categorica,anual,no_aplica,"Sector, tomado con dplyr::first() por NORDEMP-ANIO (misma regla que el panel actual).",2012-2024,33.43,0,original,first(CIIU4),
CIIU3,Codigo CIIU 3 digitos,CIIU3,NA,categorica,anual,no_aplica,Cobertura muy limitada -- ver anios_disponibles.,2008-2011,73.37,0,original,first(CIIU3),Cobertura muy limitada -- confirmar años antes de usar.
DPTO,Departamento,DPTO,NA,categorica,anual,no_aplica,Tomado con dplyr::first() por NORDEMP-ANIO (misma regla que el panel actual).,2008-2024,0,0,original,first(DPTO),
n_establecimientos,Numero de establecimientos de la firma en el año,NA,NA,conteo,anual,no_aplica,n_distinct(NORDEST) por NORDEMP-ANIO.,2008-2024,0,0,suma de originales,n_distinct(NORDEST),
anio_pandemia,TRUE en 2020 y 2021,NA,NA,logico,anual,no_aplica,Para filtrar sin rehacer la base.,2008-2024,0,NA,derivada,"ANIO %in% c(2020,2021)",
tamano_empresa,Tamaño de la firma (Pequeña/Mediana/Grande),NA,NA,categorica,anual,no_aplica,"MISMA regla que 03_construir_panel.R: empleo_total_sin_propietarios <50 Pequeña, <200 Mediana, resto Grande.",2008-2024,0,NA,derivada,tamano_de(empleo_total_sin_propietarios),
empleo_total_sin_propietarios,"Empleo total (sin propietarios), 3 categorias",NA,total,personas,anual,total_ocupado_sin_propietarios,"Igual definicion que empleo_total del panel actual: permanentes+temporal_directo+temporal_agencias+aprendices de las 3 categorias, SIN propietarios.",2008-2024,0,0.39,suma de originales,suma de 12 variables de grupo,
obreros_permanentes,Suma de C4R2C1+C4R2C2,C4R2C1+C4R2C2,obreros,personas,anual,permanentes,"Suma de: C4R2C1, C4R2C2",2008-2024,0,20.53,suma de originales,C4R2C1 + C4R2C2,
obreros_total_ocupado,Suma de C4R5C1+C4R5C2,C4R5C1+C4R5C2,obreros,personas,anual,total_ocupado,"Suma de: C4R5C1, C4R5C2",2008-2024,0,3.36,suma de originales,C4R5C1 + C4R5C2,
