ANIO,n_firmas,pct_coincide_exacto,categoria
2008,7463,72.8,obreros (C1)
2009,8659,76.15,obreros (C1)
2010,9468,77.57,obreros (C1)
2011,9254,78.84,obreros (C1)
2012,8922,78.69,obreros (C1)
2013,8905,76.88,obreros (C1)
2014,8649,76.93,obreros (C1)
2015,8389,75.9,obreros (C1)
2016,7820,73.27,obreros (C1)
2017,7542,71.23,obreros (C1)
2018,7256,69.98,obreros (C1)
2019,6984,68.86,obreros (C1)
2020,6721,69.74,obreros (C1)
2021,6547,46.62,obreros (C1)
2022,6186,45.17,obreros (C1)
2023,6119,46.46,obreros (C1)
2024,5973,46.34,obreros (C1)
2008,7463,78.6,profesional_tecnico (PT)
2009,8659,80.45,profesional_tecnico (PT)
2010,9468,80.69,profesional_tecnico (PT)
2011,9254,81.24,profesional_tecnico (PT)
2012,8922,80.16,profesional_tecnico (PT)
2013,8905,77.02,profesional_tecnico (PT)
2014,8649,77.51,profesional_tecnico (PT)
2015,8389,75.98,profesional_tecnico (PT)
2016,7820,70.96,profesional_tecnico (PT)
2017,7542,69.74,profesional_tecnico (PT)
2018,7256,67.9,profesional_tecnico (PT)
2019,6984,66.58,profesional_tecnico (PT)
2020,6721,67.56,profesional_tecnico (PT)
2021,6547,59.32,profesional_tecnico (PT)
2022,6186,56.81,profesional_tecnico (PT)
2023,6119,57.13,profesional_tecnico (PT)
2024,5973,56.77,profesional_tecnico (PT)
2008,7463,69.8,administrativos (C2)
2009,8659,71.17,administrativos (C2)
2010,9468,72.69,administrativos (C2)
2011,9254,73.45,administrativos (C2)
2012,8922,70.87,administrativos (C2)
2013,8905,68.84,administrativos (C2)
2014,8649,68.45,administrativos (C2)
2015,8389,65.99,administrativos (C2)
2016,7820,62.02,administrativos (C2)
2017,7542,60.14,administrativos (C2)
2018,7256,57.94,administrativos (C2)
2019,6984,57.45,administrativos (C2)
2020,6721,57.8,administrativos (C2)
2021,6547,45.01,administrativos (C2)
2022,6186,42.64,administrativos (C2)
2023,6119,44.99,administrativos (C2)
2024,5973,44.67,administrativos (C2)
2008,7463,54.83,total (C3)
2009,8659,58.03,total (C3)
2010,9468,59.32,total (C3)
2011,9254,58.44,total (C3)
2012,8922,55.97,total (C3)
2013,8905,54.55,total (C3)
2014,8649,52.97,total (C3)
2015,8389,50.71,total (C3)
2016,7820,45.37,total (C3)
2017,7542,41.85,total (C3)
2018,7256,39.59,total (C3)
2019,6984,39.13,total (C3)
2020,6721,40.75,total (C3)
2021,6547,28.27,total (C3)
2022,6186,26.16,total (C3)
2023,6119,28.19,total (C3)
2024,5973,27.41,total (C3)
