ciiu2,n_incoherente_FALSE,n_incoherente_TRUE,pct_reporta_c3r20_incoherente_FALSE,pct_reporta_c3r20_incoherente_TRUE,diferencia_pp
26,27,11,85.19,45.45,39.739999999999995
14,2074,693,75.94,55.99,19.949999999999996
18,1007,440,82.92,66.36,16.560000000000002
25,1350,596,82.44,68.46,13.980000000000004
15,720,247,65.28,52.23,13.050000000000004
13,547,254,83.18,70.87,12.310000000000002
28,980,397,86.84,74.56,12.280000000000001
16,403,146,83.13,71.92,11.209999999999994
22,1358,684,82.33,71.2,11.129999999999995
32,1144,575,78.58,68,10.579999999999998
20,876,659,85.05,75.87,9.179999999999993
31,845,329,72.07,62.92,9.149999999999991
19,101,50,87.13,80,7.1299999999999955
29,362,162,82.32,75.31,7.009999999999991
21,304,267,81.25,74.53,6.719999999999999
23,725,402,84.14,77.86,6.280000000000001
33,37,14,91.89,85.71,6.180000000000007
11,154,80,80.52,75,5.519999999999996
10,2743,1406,70.98,66.15,4.829999999999998
27,315,200,87.3,82.5,4.799999999999997
30,51,37,82.35,81.08,1.269999999999996
24,280,173,79.64,78.61,1.0300000000000011
17,194,137,83.51,83.94,-0.4299999999999926
