anio_desde,anio_hasta,n,pct_incoherente_base,pct_incoherente_si_lo_era_antes
2008,2009,6798,98.54,98.99
2009,2010,7932,98.54,98.99
2010,2011,8726,98.28,98.8
2011,2012,8549,98.78,99.25
2012,2013,8221,84.37,84.87
2013,2014,8371,35.43,39.26
2014,2015,8184,31.33,63.73
2015,2016,7461,30.63,67.49
2016,2017,7364,28.71,70.5
2017,2018,7115,28.69,69.43
2018,2019,6898,31.15,70.32
2019,2020,6600,25.89,49.93
2020,2021,6441,32.77,61.11
2021,2022,6097,34.12,59.43
2022,2023,5996,31.95,57.5
2023,2024,5810,31.31,57.14
