ANIO,categoria,n,pct_ok
2008,administrativos,7463,73.84
2008,obreros,7463,78
2008,profesional_tecnico,7463,82.75
2008,total,7463,57.15
2009,administrativos,8659,74.97
2009,obreros,8659,81.33
2009,profesional_tecnico,8659,84.41
2009,total,8659,60.77
2010,administrativos,9468,75.92
2010,obreros,9468,82.18
2010,profesional_tecnico,9468,83.68
2010,total,9468,61.72
2011,administrativos,9254,75.47
2011,obreros,9254,82.86
2011,profesional_tecnico,9254,83.53
2011,total,9254,60.64
2012,administrativos,8922,73.4
2012,obreros,8922,82.56
2012,profesional_tecnico,8922,82.36
2012,total,8922,57.89
2013,administrativos,8905,71.45
2013,obreros,8905,81.75
2013,profesional_tecnico,8905,79.47
2013,total,8905,56.24
2014,administrativos,8649,70.45
2014,obreros,8649,81.44
2014,profesional_tecnico,8649,79.44
2014,total,8649,54.61
2015,administrativos,8389,67.84
2015,obreros,8389,80.59
2015,profesional_tecnico,8389,78.17
2015,total,8389,52.06
2016,administrativos,7820,64.1
2016,obreros,7820,78.36
2016,profesional_tecnico,7820,73.16
2016,total,7820,46.24
2017,administrativos,7542,62.16
2017,obreros,7542,76.97
2017,profesional_tecnico,7542,71.72
2017,total,7542,43.17
2018,administrativos,7256,60.1
2018,obreros,7256,75.96
2018,profesional_tecnico,7256,70.44
2018,total,7256,41
2019,administrativos,6984,59.66
2019,obreros,6984,74.83
2019,profesional_tecnico,6984,69.9
2019,total,6984,40.32
2020,administrativos,6721,60.53
2020,obreros,6721,75.73
2020,profesional_tecnico,6721,70.5
2020,total,6721,42.37
2021,administrativos,6547,46.57
2021,obreros,6547,49.03
2021,profesional_tecnico,6547,60.7
2021,total,6547,28.98
2022,administrativos,6186,43.81
2022,obreros,6186,47.54
2022,profesional_tecnico,6186,58.24
2022,total,6186,27
2023,administrativos,6119,46.38
2023,obreros,6119,48.46
2023,profesional_tecnico,6119,58.41
2023,total,6119,29.51
2024,administrativos,5973,46.07
2024,obreros,5973,48.75
2024,profesional_tecnico,5973,58.43
2024,total,5973,28.29
