medida_1,medida_2,pearson,spearman,n
golpe_c,golpe_costo,0.7998675478933859,0.7592780550222322,5742
golpe_a,golpe_c,0.8783714972121207,0.8334704965175197,5742
golpe_a,golpe_costo,0.7830525017339766,0.7624259729209066,5742
brecha,golpe_c,0.132443349206209,0.5645408092746987,5742
brecha,golpe_a,0.089797139023877,0.295797064391915,5742
brecha,golpe_costo,-0.06193498250064594,-0.010658779595689229,5742
brecha,Exposure2022_obreros,-0.045099857231120415,-0.3096147936578624,5742
Bite2022_obreros,golpe_c,0.6566629137201454,0.6127717446688624,5099
Bite2022_obreros,golpe_a,0.8131049763985339,0.815265070991959,5099
Bite2022_obreros,golpe_costo,0.6407189407014686,0.628770171096159,5099
Bite2022_obreros,brecha,0.1065416549470077,0.1633231713312919,5099
Bite2022_obreros,Exposure2022_obreros,0.12423668236194786,0.15901915435475347,5099
Exposure2022_obreros,golpe_c,0.11506491190849953,0.1273404731179732,5742
Exposure2022_obreros,golpe_a,0.2514830556512661,0.3089459468281489,5742
Exposure2022_obreros,golpe_costo,0.3089579857220395,0.3904761126742267,6178
