ANIO,categoria,n,p10,mediana,p90,sd
2008,administrativos,6931,0.0739,0.09,0.1276,0.0465
2008,obreros,6854,0.0694,0.09,0.0972,0.1097
2008,profesional_tecnico,3910,0.0751,0.09,0.1169,0.0384
2008,total,7261,0.0725,0.09,0.1076,0.0526
2009,administrativos,7943,0.0739,0.09,0.1221,0.057
2009,obreros,7971,0.0691,0.09,0.0967,0.0163
2009,profesional_tecnico,4463,0.0741,0.09,0.1139,0.0746
2009,total,8434,0.0718,0.09,0.1053,0.0343
2010,administrativos,8649,0.073,0.09,0.1191,0.082
2010,obreros,8743,0.0674,0.09,0.096,0.0178
2010,profesional_tecnico,4933,0.0739,0.09,0.11,0.0426
2010,total,9256,0.0704,0.09,0.104,0.026
2011,administrativos,8458,0.0726,0.09,0.1188,0.0535
2011,obreros,8550,0.0665,0.09,0.0961,0.0157
2011,profesional_tecnico,4645,0.0732,0.09,0.1104,0.0478
2011,total,9050,0.07,0.09,0.1045,0.0232
2012,administrativos,8189,0.0726,0.09,0.1194,0.1547
2012,obreros,8317,0.0675,0.09,0.0957,0.0272
2012,profesional_tecnico,4687,0.0734,0.09,0.1088,0.0373
2012,total,8750,0.0704,0.09,0.1043,0.0524
2013,administrativos,8173,0.0455,0.0692,0.1001,0.0881
2013,obreros,8364,0.0411,0.0612,0.09,0.5835
2013,profesional_tecnico,4735,0.0458,0.068,0.0936,0.0453
2013,total,8752,0.0448,0.0651,0.0904,0.2531
2014,administrativos,7975,0.0337,0.0424,0.0906,0.0474
2014,obreros,8158,0.0317,0.0401,0.089,0.6865
2014,profesional_tecnico,4656,0.0337,0.0412,0.09,0.0577
2014,total,8532,0.033,0.042,0.09,0.274
2015,administrativos,7754,0.0332,0.0418,0.09,0.0485
2015,obreros,7906,0.0314,0.04,0.0837,0.0305
2015,profesional_tecnico,4591,0.0331,0.0406,0.09,0.0402
2015,total,8275,0.0329,0.0414,0.0899,0.0276
2016,administrativos,7350,0.0333,0.0417,0.09,0.0557
2016,obreros,7454,0.0311,0.04,0.075,0.0301
2016,profesional_tecnico,4580,0.0332,0.0406,0.09,0.0403
2016,total,7750,0.0327,0.0412,0.0843,0.0273
2017,administrativos,7138,0.0339,0.0414,0.09,0.048
2017,obreros,7208,0.0309,0.04,0.0688,0.0227
2017,profesional_tecnico,4446,0.033,0.0405,0.0886,0.0366
2017,total,7484,0.0328,0.0411,0.0792,0.0332
2018,administrativos,6877,0.0329,0.0419,0.09,0.0456
2018,obreros,6951,0.0306,0.04,0.0676,0.03
2018,profesional_tecnico,4414,0.0328,0.0404,0.0871,0.0634
2018,total,7210,0.0324,0.0412,0.0794,0.0278
2019,administrativos,6617,0.0329,0.0423,0.09,0.0555
2019,obreros,6700,0.0302,0.04,0.07,0.0613
2019,profesional_tecnico,4322,0.0326,0.0411,0.09,0.066
2019,total,6938,0.0327,0.0416,0.0802,0.0316
2020,administrativos,6384,0.0326,0.0429,0.08,0.1664
2020,obreros,6415,0.0311,0.04,0.0715,0.5007
2020,profesional_tecnico,4190,0.0321,0.0412,0.0789,0.0334
2020,total,6673,0.0327,0.042,0.0742,0.1985
2021,administrativos,6238,0.0354,0.045,0.09,1.7091
2021,obreros,6253,0.0331,0.041,0.09,0.8595
2021,profesional_tecnico,4004,0.0355,0.0421,0.09,0.5708
2021,total,6499,0.0359,0.0436,0.09,0.7926
2022,administrativos,5920,0.0382,0.0464,0.0899,0.7017
2022,obreros,5928,0.0365,0.0417,0.0876,0.4556
2022,profesional_tecnico,3974,0.0386,0.0429,0.09,0.077
2022,total,6154,0.0386,0.045,0.0836,0.4291
2023,administrativos,5885,0.0393,0.045,0.0877,0.5819
2023,obreros,5883,0.0379,0.0417,0.0864,0.035
2023,profesional_tecnico,3943,0.0396,0.0426,0.09,0.2572
2023,total,6096,0.0391,0.0442,0.0804,0.0404
2024,administrativos,5746,0.04,0.0451,0.08,0.032
2024,obreros,5755,0.0397,0.0419,0.0739,0.0254
2024,profesional_tecnico,3890,0.04,0.043,0.0824,0.0613
2024,total,5948,0.04,0.0444,0.073,0.0241
