canal,mecanismo,efecto_B_en_DE,ic_B_inf,ic_B_sup,p_B_ajustado,sig_B,efecto_A_en_DE,p_A_ajustado,sig_A,p_previos,observaciones
Compresión salarial,Brecha salarial obrero/admin,0.2202478573623567,0.18797938379979445,0.25251633092491893,1.3832587351711654e-39,***,0.21280775591208112,2.1092225892214285e-45,***,1.3923756741696067e-51,40733
Tercerización,Outsourcing / producción,0.12063868964020275,-0.051191513343447154,0.29246889262385267,0.22073500980547844,,0.09024187600505162,0.4673249983919067,,0.4940149565471048,44627
Tercerización,Pago a agencias / producción,-0.07767915816652411,-0.2732778342806736,0.11791951794762538,0.46361322043095465,,-0.09088260091255826,0.4759983446867999,,0.04350390337310167,44627
Tercerización,Hace outsourcing (sí/no),0.055571839797493056,0.026429401774677393,0.08471427782030871,3.9489970819644456e-4,***,0.0514269292043229,3.660353791003916e-4,***,3.197836100739367e-4,44627
Temporalidad,Usa agencias (sí/no),0.054618299368887305,0.03451580050876868,0.07472079822900593,2.4476537101410414e-7,***,0.0394941097358014,8.589985482737756e-5,***,2.1311786480084076e-9,44627
Temporalidad,Participación de permanentes,-0.04828909234663102,-0.06593205640653503,-0.03064612828672701,2.4476537101410414e-7,***,-0.03155014927273887,3.0959948328813686e-4,***,7.925264713232304e-12,44612
Temporalidad,Participación de temporales,0.047760482348308125,0.03025434828718804,0.06526661640942821,2.4476537101410414e-7,***,0.031134196268436748,3.1047070045553713e-4,***,1.244495934643702e-11,44612
Temporalidad,Participación de agencias,0.046878141917525984,0.029706037456748553,0.06405024637830342,2.4476537101410414e-7,***,0.030464910841161128,8.765823532156952e-5,***,1.4185179782286042e-4,44612
Productividad,Productividad (VA/trabajador),0.036775818977982044,0.017207577705341693,0.0563440602506224,4.335006782532232e-4,***,0.03492128960968702,1.510254372130897e-4,***,7.980434880206512e-11,44612
Escala,Producción bruta,0.028098265554652127,0.01800064307813461,0.03819588803116965,2.4476537101410414e-7,***,0.019866649385958786,8.589985482737756e-5,***,2.1302771256048812e-17,44627
Escala,Ventas,0.02753616527290858,0.017542331417746016,0.037529999128071145,2.4476537101410414e-7,***,0.01928034646325625,8.765823532156952e-5,***,7.343714698508221e-16,44621
Empleo,Empleo temporal,0.026181323196366648,0.0032204219365081846,0.04914222445622511,0.03929117179114739,**,0.008124903720546875,0.5396476133692496,,2.4508520423036825e-6,23811
Escala,Valor agregado,0.02310782836913132,0.010723619109732473,0.03549203762853016,4.335006782532232e-4,***,0.01783634453438139,0.0022293370872683714,***,8.093544408440499e-11,44627
Tercerización,Honorarios / producción,0.01805298437579652,-0.1531125475347425,0.18921851628633554,0.8362262070956377,,0.01605623673736888,0.8547772823028461,,0.1306247874364752,44627
Capital,Inversión bruta,0.015254976258915214,-0.015782520727715917,0.04629247324554635,0.38452095455039687,,0.00904340508892294,0.6192822726565105,,0.02085869062360465,31132
Empleo,Empleo permanente,-0.009788429924870702,-0.02272582867462243,0.0031489688248810266,0.19562984577981699,,-0.008358521078654958,0.2715798102269524,,0.034406566897613226,43675
Empleo,Empleo total,0.004422126178406061,-0.004648118525280664,0.013492370882092786,0.38452095455039687,,-0.0020196617728559883,0.6684175490680876,,1.7062783981286846e-4,44612
