medida,muestra,controles,coeficiente,error_estandar,p_valor,significancia,ic95_inferior,ic95_superior,efecto_pct,observaciones,r2_ajustado
Golpe costo (costo laboral total),Común,Sí,0.08906998525994751,0.007734045569797419,2.764739017910646e-30,***,0.07391125594314457,0.10422871457675045,8.906998525994752,4837,0.0774650842541067
Golpe A (armónica ponderada),Común,Sí,0.04057793537764087,0.006521352517417173,5.324533230539931e-10,***,0.027796084443503212,0.05335978631177853,4.057793537764088,4837,0.016875547381499212
"Golpe C (nivel salarial, 3 categorías)",Común,Sí,0.036874739420404486,0.005582583509520759,4.406813966025961e-11,***,0.0259328757417438,0.04781660309906517,3.6874739420404485,4837,0.016079700882268955
Bite (Kaitz de obreros),Común,Sí,0.02904681911929957,0.005146173293439586,1.7554513995369894e-8,***,0.018960319464157983,0.039133318774441164,2.9046819119299574,4837,0.013448488118528501
Exposure (proporción de obreros),Común,Sí,7.848873455608843e-5,0.006115232029289606,0.9897600127352124,,-0.01190736604285154,0.012064343511963716,0.007848873455608843,4837,0.00434529975985809
Golpe costo (costo laboral total),Propia,Sí,0.09597424752300188,0.007589823624197309,3.558397472294667e-36,***,0.08109819321957515,0.1108503018264286,9.597424752300189,5942,0.08467692471056498
"Golpe C (nivel salarial, 3 categorías)",Propia,Sí,0.03563955006957697,0.005084411031236071,2.6811530809914145e-12,***,0.02567410444835427,0.04560499569079966,3.5639550069576966,5577,0.01303937443399017
Golpe A (armónica ponderada),Propia,Sí,0.034585184272397027,0.005162174408840643,2.299009600547686e-11,***,0.024467322431069367,0.044703046113724686,3.4585184272397025,5572,0.013194003870964588
Bite (Kaitz de obreros),Propia,Sí,0.02983158961147445,0.005139016737480053,6.860453335223078e-9,***,0.019759116806013548,0.03990406241693535,2.983158961147445,4863,0.01524430029109114
Exposure (proporción de obreros),Propia,Sí,0.001934349597566974,0.005079077009814763,0.703330782745696,,-0.008020641341669962,0.011889340536803909,0.1934349597566974,6017,5.504962338634956e-4
