medida,periodo,coeficiente,error_estandar,p_valor,significancia,observaciones
Bite (Kaitz de obreros),Choque 2022-2023,0.02983158961147445,0.005139016737480053,6.860453335223078e-9,***,4863
Bite (Kaitz de obreros),Placebo 2018-2019,-0.009838662099850017,0.003981234461434261,0.013498813172576582,**,4864
Exposure (proporción de obreros),Choque 2022-2023,0.001934349597566974,0.005079077009814763,0.703330782745696,,6017
Exposure (proporción de obreros),Placebo 2018-2019,-0.004885668567602118,0.0036669464979366046,0.1827954894246923,,6044
Golpe A (armónica ponderada),Choque 2022-2023,0.034585184272397027,0.005162174408840643,2.299009600547686e-11,***,5572
Golpe A (armónica ponderada),Placebo 2018-2019,-0.0098080173303617,0.003640930937022134,0.007085478798017671,***,5577
"Golpe C (nivel salarial, 3 categorías)",Choque 2022-2023,0.03563955006957697,0.005084411031236071,2.6811530809914145e-12,***,5577
"Golpe C (nivel salarial, 3 categorías)",Placebo 2018-2019,-0.007018643230865272,0.003841489113980697,0.06774496541551792,*,5584
Golpe costo (costo laboral total),Choque 2022-2023,0.09597424752300188,0.007589823624197309,3.558397472294667e-36,***,5942
Golpe costo (costo laboral total),Placebo 2018-2019,-0.01161707830699897,0.0037640195637282025,0.002035843716606583,***,5949
