medida,version,coeficiente,p_valor,significancia,observaciones
Bite (Kaitz de obreros),Con controles,0.02983158961147445,6.860453335223078e-9,***,4863
Bite (Kaitz de obreros),Sin controles,0.01953736014448426,3.753088930718873e-7,***,4863
Exposure (proporción de obreros),Con controles,0.001934349597566974,0.703330782745696,,6017
Exposure (proporción de obreros),Sin controles,0.001302106304419015,0.7566916381617999,,6017
Golpe A (armónica ponderada),Con controles,0.034585184272397027,2.299009600547686e-11,***,5572
Golpe A (armónica ponderada),Sin controles,0.02252830248672627,1.5883149000051615e-8,***,5572
"Golpe C (nivel salarial, 3 categorías)",Con controles,0.03563955006957697,2.6811530809914145e-12,***,5577
"Golpe C (nivel salarial, 3 categorías)",Sin controles,0.02184718076046796,2.4914681984648416e-7,***,5577
Golpe costo (costo laboral total),Con controles,0.09597424752300188,3.558397472294667e-36,***,5942
Golpe costo (costo laboral total),Sin controles,0.06149615727373253,1.2545879916304664e-33,***,5942
