ANIO,exposicion,brecha_admin_obrero_pct,brecha_prof_obrero_pct,firmas_con_dato_admin,firmas_con_dato_prof
2015,Baja exposición,55.265364852138354,50.23687918947033,2081,1582
2015,Alta exposición,45.72052108479339,51.487309017875035,1978,1102
2016,Baja exposición,55.67640169262624,48.93395243713066,2162,1678
2016,Alta exposición,46.55598260226341,49.653579663744466,2067,1204
2017,Baja exposición,53.90774291576719,50.30807625406002,2221,1717
2017,Alta exposición,46.15467595041647,48.08258137245911,2132,1203
2018,Baja exposición,55.85947013666317,47.14830106411085,2263,1787
2018,Alta exposición,48.4681301220303,46.20528442553695,2176,1224
2019,Baja exposición,55.25167317516875,46.60075258339731,2276,1794
2019,Alta exposición,51.008240075184474,45.83343750751858,2209,1275
2020,Baja exposición,73.016591225163907,50.591323603675775,2299,1783
2020,Alta exposición,57.04653009040115,48.961715145555296,2222,1239
2021,Baja exposición,69.67248978391555,47.81522665175846,2345,1770
2021,Alta exposición,58.24222684780116,45.49198944134041,2278,1271
2022,Baja exposición,65.68514941544272,39.62740677710421,2427,1871
2022,Alta exposición,61.530505324350585,55.124100386431785,2366,1317
2023,Baja exposición,70.61903394818447,44.24113310831403,2351,1800
2023,Alta exposición,56.56860219495705,45.54871550468506,2257,1252
2024,Baja exposición,69.0043455689346,42.31558980770931,2256,1763
2024,Alta exposición,54.256064964318895,39.24543523882713,2113,1214
