anio,coeficiente,error_estandar,ic95_inferior,ic95_superior
2015,0.08369902696955743,0.006644529233082383,0.07067574967271596,0.0967223042663989
2016,0.08118779765735132,0.006775330028410913,0.06790815080166593,0.09446744451303671
2017,0.07970832207491488,0.006402589703327621,0.06715924625639275,0.09225739789343701
2018,0.06767396527252666,0.005992547199038444,0.05592857276241131,0.079419357782642
2019,0.058568121916271774,0.005831607808972914,0.047138170610684864,0.06999807322185869
2020,0.0494719105322717,0.005912753966404387,0.0378829127581191,0.0610609083064243
2021,0.03832576677679005,0.00625809206499436,0.026059906329401104,0.050591627224179
2022,0,0,0,0
2023,0.040276251994552224,0.005686096379465826,0.029131503090799205,0.051421000898305244
2024,0.05543114799150453,0.00551129368637356,0.044629012366212355,0.0662332836167967
