anio,variable,firmas_en_panel,firmas_reconstruidas,firmas_cruzadas,porcentaje_iguales
2015,empleo_total,8389,8389,8389,100
2015,empleo_permanente,8389,8389,8389,100
2015,empleo_temporal,8389,8389,8389,100
2015,participacion_permanente,8389,8389,8389,100
2015,VALORVEN,8389,8389,8389,100
2015,Bite2022_obreros,8389,8389,8389,100
2015,costos_totales_personal_total_c3r10c3,8389,8389,8389,100
2015,sueldos_permanentes_obreros_c3r2c1,8389,8389,8389,100
2015,obreros_permanentes,8389,8389,8389,100
2015,temporal_directo,8389,8389,8389,100
2015,temporal_agencias,8389,8389,8389,100
2015,aprendices,8389,8389,8389,100
2016,empleo_total,7820,7820,7820,100
2016,empleo_permanente,7820,7820,7820,100
2016,empleo_temporal,7820,7820,7820,100
2016,participacion_permanente,7820,7820,7820,100
2016,VALORVEN,7820,7820,7820,100
2016,Bite2022_obreros,7820,7820,7820,100
2016,costos_totales_personal_total_c3r10c3,7820,7820,7820,100
2016,sueldos_permanentes_obreros_c3r2c1,7820,7820,7820,100
2016,obreros_permanentes,7820,7820,7820,100
2016,temporal_directo,7820,7820,7820,100
2016,temporal_agencias,7820,7820,7820,100
2016,aprendices,7820,7820,7820,100
2017,empleo_total,7542,7542,7542,100
2017,empleo_permanente,7542,7542,7542,100
2017,empleo_temporal,7542,7542,7542,100
2017,participacion_permanente,7542,7542,7542,100
2017,VALORVEN,7542,7542,7542,100
2017,Bite2022_obreros,7542,7542,7542,100
2017,costos_totales_personal_total_c3r10c3,7542,7542,7542,100
2017,sueldos_permanentes_obreros_c3r2c1,7542,7542,7542,100
2017,obreros_permanentes,7542,7542,7542,100
2017,temporal_directo,7542,7542,7542,100
2017,temporal_agencias,7542,7542,7542,100
2017,aprendices,7542,7542,7542,100
2018,empleo_total,7256,7256,7256,100
2018,empleo_permanente,7256,7256,7256,100
2018,empleo_temporal,7256,7256,7256,100
2018,participacion_permanente,7256,7256,7256,100
2018,VALORVEN,7256,7256,7256,100
2018,Bite2022_obreros,7256,7256,7256,100
2018,costos_totales_personal_total_c3r10c3,7256,7256,7256,100
2018,sueldos_permanentes_obreros_c3r2c1,7256,7256,7256,100
2018,obreros_permanentes,7256,7256,7256,100
2018,temporal_directo,7256,7256,7256,100
2018,temporal_agencias,7256,7256,7256,100
2018,aprendices,7256,7256,7256,100
2019,empleo_total,6984,6984,6984,100
2019,empleo_permanente,6984,6984,6984,100
2019,empleo_temporal,6984,6984,6984,100
2019,participacion_permanente,6984,6984,6984,100
2019,VALORVEN,6984,6984,6984,100
2019,Bite2022_obreros,6984,6984,6984,100
2019,costos_totales_personal_total_c3r10c3,6984,6984,6984,100
2019,sueldos_permanentes_obreros_c3r2c1,6984,6984,6984,100
2019,obreros_permanentes,6984,6984,6984,100
2019,temporal_directo,6984,6984,6984,100
2019,temporal_agencias,6984,6984,6984,100
2019,aprendices,6984,6984,6984,100
2021,empleo_total,6547,6547,6547,100
2021,empleo_permanente,6547,6547,6547,100
2021,empleo_temporal,6547,6547,6547,100
2021,participacion_permanente,6547,6547,6547,100
2021,VALORVEN,6547,6547,6547,100
2021,Bite2022_obreros,6547,6547,6547,100
2021,costos_totales_personal_total_c3r10c3,6547,6547,6547,100
2021,sueldos_permanentes_obreros_c3r2c1,6547,6547,6547,100
2021,obreros_permanentes,6547,6547,6547,100
2021,temporal_directo,6547,6547,6547,100
2021,temporal_agencias,6547,6547,6547,100
2021,aprendices,6547,6547,6547,100
2022,empleo_total,6186,6186,6186,100
2022,empleo_permanente,6186,6186,6186,100
2022,empleo_temporal,6186,6186,6186,100
2022,participacion_permanente,6186,6186,6186,100
2022,VALORVEN,6186,6186,6186,100
2022,Bite2022_obreros,6186,6186,6186,100
2022,costos_totales_personal_total_c3r10c3,6186,6186,6186,100
2022,sueldos_permanentes_obreros_c3r2c1,6186,6186,6186,100
2022,obreros_permanentes,6186,6186,6186,100
2022,temporal_directo,6186,6186,6186,100
2022,temporal_agencias,6186,6186,6186,100
2022,aprendices,6186,6186,6186,100
2023,empleo_total,6119,6119,6119,100
2023,empleo_permanente,6119,6119,6119,100
2023,empleo_temporal,6119,6119,6119,100
2023,participacion_permanente,6119,6119,6119,100
2023,VALORVEN,6119,6119,6119,100
2023,Bite2022_obreros,6119,6119,6119,100
2023,costos_totales_personal_total_c3r10c3,6119,6119,6119,100
2023,sueldos_permanentes_obreros_c3r2c1,6119,6119,6119,100
2023,obreros_permanentes,6119,6119,6119,100
2023,temporal_directo,6119,6119,6119,100
2023,temporal_agencias,6119,6119,6119,100
2023,aprendices,6119,6119,6119,100
2024,empleo_total,5973,5973,5973,100
2024,empleo_permanente,5973,5973,5973,100
2024,empleo_temporal,5973,5973,5973,100
2024,participacion_permanente,5973,5973,5973,100
2024,VALORVEN,5973,5973,5973,100
2024,Bite2022_obreros,5973,5973,5973,100
2024,costos_totales_personal_total_c3r10c3,5973,5973,5973,100
2024,sueldos_permanentes_obreros_c3r2c1,5973,5973,5973,100
2024,obreros_permanentes,5973,5973,5973,100
2024,temporal_directo,5973,5973,5973,100
2024,temporal_agencias,5973,5973,5973,100
2024,aprendices,5973,5973,5973,100
