medida,escala,lectura,efecto_pct,ic95_inf_pct,ic95_sup_pct,p_valor,significancia,p_previos,observaciones
Bite (Kaitz de obreros),Trabajadores,A. Cambio 2022 -> 2023,76.16346178177112,-182.367190557906,334.69411412144825,0.5636567703891269,,0.04687825607286402,44627
Bite (Kaitz de obreros),Trabajadores,B. Salto 2023 ajustado por tendencia previa,126.58841110936127,-160.45961858609874,413.63644080482123,0.3873892967305444,,0.04687825607286402,44627
Bite (Kaitz de obreros),Trabajadores,C. DiD simple (promedio post - pre),-265.16822461891053,-497.79903836717415,-32.53741087064688,0.025517082704825046,**,0.04687825607286402,44627
Exposure (proporción de obreros),Trabajadores,A. Cambio 2022 -> 2023,-9.843821334476853,-137.48473594078186,117.79709327182815,0.879851424002925,,0.19341934682962783,54013
Exposure (proporción de obreros),Trabajadores,B. Salto 2023 ajustado por tendencia previa,-45.63414547368701,-198.86608685179263,107.59779590441858,0.559415839440818,,0.19341934682962783,54013
Exposure (proporción de obreros),Trabajadores,C. DiD simple (promedio post - pre),124.36428390664199,-68.14973896406534,316.8783067773493,0.20550272448510645,,0.19341934682962783,54013
"Golpe C (nivel salarial, 3 categorías)",Trabajadores,A. Cambio 2022 -> 2023,55.52052396663383,-136.18535920310998,247.22640713637762,0.5702783795812667,,0.04707307950388099,50203
"Golpe C (nivel salarial, 3 categorías)",Trabajadores,B. Salto 2023 ajustado por tendencia previa,52.800335769116366,-155.77518948223235,261.3758610204651,0.6197753553854439,,0.04707307950388099,50203
"Golpe C (nivel salarial, 3 categorías)",Trabajadores,C. DiD simple (promedio post - pre),-160.81666126592157,-331.03940047227286,9.406077940429757,0.06412090077117659,*,0.04707307950388099,50203
Golpe A (armónica ponderada),Trabajadores,A. Cambio 2022 -> 2023,49.05049963160981,-145.77148501998005,243.87248428319967,0.621679899455156,,0.15169853356548474,50203
Golpe A (armónica ponderada),Trabajadores,B. Salto 2023 ajustado por tendencia previa,66.312081119464,-151.0665042472049,283.6906664861329,0.5499035201857037,,0.15169853356548474,50203
Golpe A (armónica ponderada),Trabajadores,C. DiD simple (promedio post - pre),-166.80795005131833,-381.296905083699,47.68100498106238,0.12749112715030342,,0.15169853356548474,50203
Golpe costo (costo laboral total),Trabajadores,A. Cambio 2022 -> 2023,-160.81345330181261,-325.1985837239077,3.5716771202823905,0.0551853431329574,*,0.6813082576271372,53997
Golpe costo (costo laboral total),Trabajadores,B. Salto 2023 ajustado por tendencia previa,-176.2894607313209,-369.36324701297656,16.784325550334778,0.07351615953189237,*,0.6813082576271372,53997
Golpe costo (costo laboral total),Trabajadores,C. DiD simple (promedio post - pre),-203.28052509694493,-399.45583830604954,-7.105211887840346,0.04229889438180473,**,0.6813082576271372,53997
Bite (Kaitz de obreros),Log (cambio %),A. Cambio 2022 -> 2023,-0.2678268341325101,-1.3546702943214644,0.8190166260564442,0.6290988697110833,,1.706278398128888e-4,44612
Bite (Kaitz de obreros),Log (cambio %),B. Salto 2023 ajustado por tendencia previa,0.5864170280461803,-0.6163858156992736,1.7892198717916343,0.33928319519156735,,1.706278398128888e-4,44612
Bite (Kaitz de obreros),Log (cambio %),C. DiD simple (promedio post - pre),-1.4994494017034703,-2.6748017196072174,-0.324097083799723,0.012434392806029355,**,1.706278398128888e-4,44612
Exposure (proporción de obreros),Log (cambio %),A. Cambio 2022 -> 2023,-0.8076761950221969,-1.7911969808194768,0.17584459077508302,0.10749180830639042,,0.004946320764829269,53990
Exposure (proporción de obreros),Log (cambio %),B. Salto 2023 ajustado por tendencia previa,-1.0112652636043131,-2.109305877532956,0.08677535032432966,0.07105806554696435,*,0.004946320764829269,53990
Exposure (proporción de obreros),Log (cambio %),C. DiD simple (promedio post - pre),1.096831984829256,-0.10065889912010667,2.2943228687786186,0.0726633754610574,*,0.004946320764829269,53990
"Golpe C (nivel salarial, 3 categorías)",Log (cambio %),A. Cambio 2022 -> 2023,0.36241975747489125,-0.8652056862717965,1.5900452012215789,0.5628378603732298,,1.0413871745202502e-8,50184
"Golpe C (nivel salarial, 3 categorías)",Log (cambio %),B. Salto 2023 ajustado por tendencia previa,1.2827310571263433,-0.05058090408152152,2.616043018334208,0.05934282536038092,*,1.0413871745202502e-8,50184
"Golpe C (nivel salarial, 3 categorías)",Log (cambio %),C. DiD simple (promedio post - pre),-2.0453966921173476,-3.356880910591103,-0.733912473643593,0.0022472396580746493,***,1.0413871745202502e-8,50184
Golpe A (armónica ponderada),Log (cambio %),A. Cambio 2022 -> 2023,0.2802013249037983,-0.8945598607903716,1.454962510597968,0.6401460021601795,,3.992281504666013e-5,50184
Golpe A (armónica ponderada),Log (cambio %),B. Salto 2023 ajustado por tendencia previa,1.1188416348368087,-0.17498278349924248,2.41266605317286,0.0900904921752158,*,3.992281504666013e-5,50184
Golpe A (armónica ponderada),Log (cambio %),C. DiD simple (promedio post - pre),-1.2633897411197672,-2.513362012717204,-0.013417469522330333,0.04763454316603097,**,3.992281504666013e-5,50184
Golpe costo (costo laboral total),Log (cambio %),A. Cambio 2022 -> 2023,-1.5044076463266478,-2.5947579363637923,-0.41405735628950324,0.0068447573240078404,***,0.003426265334881605,53974
Golpe costo (costo laboral total),Log (cambio %),B. Salto 2023 ajustado por tendencia previa,-0.9119729301817767,-2.124578694798646,0.30063283443509203,0.1404624865478625,,0.003426265334881605,53974
Golpe costo (costo laboral total),Log (cambio %),C. DiD simple (promedio post - pre),-1.7293975414488933,-3.0557132002328435,-0.4030818826649428,0.010622233807046825,**,0.003426265334881605,53974
