columna,porcentaje_vacios_2022,porcentaje_ceros_2022
NORDEMP,0,NA
ANIO,0,0
CIIU4,0,NA
DPTO,0,NA
tamano_empresa,0,NA
empleo_total,0,0.1
empleo_permanente,0,7.2
empleo_temporal,0,41.3
participacion_permanente,0.1,7.1
Bite2022_obreros,17.6,0
VALORVEN,0,0
costos_totales_personal_total_c3r10c3,0,0.1
sueldos_permanentes_obreros_c3r2c1,0,17.4
sueldos_permanentes_administrativos_c3r2c2,0,10.8
sueldos_permanentes_profesionales_c3r2pt,0,41.5
obreros_permanentes,0,17.5
administrativos_permanentes,0,10.9
profesionales_permanentes,0,42.8
temporal_directo,0,55.4
temporal_agencias,0,67.5
aprendices,0,43.8
n_establecimientos,0,0
