DPTO,ANIO,n_establecimientos,en_panel_final,excluido_por_pandemia
85,2008,8,FALSE,FALSE
85,2009,10,FALSE,FALSE
85,2010,10,FALSE,FALSE
85,2011,11,FALSE,FALSE
85,2012,11,FALSE,FALSE
85,2013,11,FALSE,FALSE
85,2014,13,FALSE,FALSE
85,2015,14,TRUE,FALSE
85,2016,15,TRUE,FALSE
85,2017,16,TRUE,FALSE
85,2018,18,TRUE,FALSE
85,2019,20,TRUE,FALSE
85,2020,21,FALSE,TRUE
85,2021,22,TRUE,FALSE
85,2022,21,TRUE,FALSE
85,2023,24,TRUE,FALSE
85,2024,26,TRUE,FALSE
99,2008,14,FALSE,FALSE
99,2009,15,FALSE,FALSE
99,2010,15,FALSE,FALSE
99,2011,16,FALSE,FALSE
99,2012,17,FALSE,FALSE
99,2013,18,FALSE,FALSE
99,2014,21,FALSE,FALSE
99,2015,22,TRUE,FALSE
99,2016,19,TRUE,FALSE
99,2017,18,TRUE,FALSE
99,2018,16,TRUE,FALSE
99,2019,16,TRUE,FALSE
99,2020,16,FALSE,TRUE
99,2021,16,TRUE,FALSE
99,2022,16,TRUE,FALSE
99,2023,14,TRUE,FALSE
99,2024,13,TRUE,FALSE
