ANIO,codigos_dpto
2008,"5,8,11,13,15,17,19,20,23,25,41,47,50,52,54,63,66,68,70,73,76,85,99"
2009,"5,8,11,13,15,17,19,20,23,25,41,47,50,52,54,63,66,68,70,73,76,85,99"
2010,"5,8,11,13,15,17,19,20,23,25,41,47,50,52,54,63,66,68,70,73,76,85,99"
2011,"5,8,11,13,15,17,19,20,23,25,41,47,50,52,54,63,66,68,70,73,76,85,99"
2012,"5,8,11,13,15,17,19,20,23,25,41,47,50,52,54,63,66,68,70,73,76,85,99"
2013,"5,8,11,13,15,17,19,20,23,25,41,47,50,52,54,63,66,68,70,73,76,85,99"
2014,"5,8,11,13,15,17,19,20,23,25,41,47,50,52,54,63,66,68,70,73,76,85,99"
2015,"5,8,11,13,15,17,19,20,23,25,41,47,50,52,54,63,66,68,70,73,76,85,99"
2016,"5,8,11,13,15,17,19,20,23,25,41,47,50,52,54,63,66,68,70,73,76,85,99"
2017,"5,8,11,13,15,17,19,20,23,25,41,47,50,52,54,63,66,68,70,73,76,85,99"
2018,"5,8,11,13,15,17,19,20,23,25,41,47,50,52,54,63,66,68,70,73,76,85,99"
2019,"5,8,11,13,15,17,19,20,23,25,41,47,50,52,54,63,66,68,70,73,76,85,99"
2020,"5,8,11,13,15,17,19,20,23,25,41,47,50,52,54,63,66,68,70,73,76,85,99"
2021,"5,8,11,13,15,17,19,20,23,25,41,47,50,52,54,63,66,68,70,73,76,85,99"
2022,"5,8,11,13,15,17,19,20,23,25,41,47,50,52,54,63,66,68,70,73,76,85,99"
2023,"5,8,11,13,15,17,19,20,23,25,41,47,50,52,54,63,66,68,70,73,76,85,99"
2024,"5,8,11,13,15,17,19,20,23,25,41,47,50,52,54,63,66,68,70,73,76,85,99"
