NORDEST,n_anios,n_dptos_distintos,secuencia,patron,anio_cambio,dpto_antes,dpto_despues
140182,2,2,2023:5 | 2024:8,cambio_sostenido,2024,5,8
140268,3,2,2022:11 | 2023:15 | 2024:15,cambio_sostenido,2023,11,15
140285,3,2,2022:68 | 2023:11 | 2024:11,cambio_sostenido,2023,68,11
140286,3,2,2022:5 | 2023:11 | 2024:11,cambio_sostenido,2023,5,11
140289,4,2,2021:8 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2022,8,25
140308,3,2,2022:99 | 2023:85 | 2024:85,cambio_sostenido,2023,99,85
140357,3,2,2022:11 | 2023:11 | 2024:8,cambio_sostenido,2024,11,8
140366,5,2,2020:11 | 2021:11 | 2022:11 | 2023:5 | 2024:5,cambio_sostenido,2023,11,5
140414,6,2,2019:23 | 2020:23 | 2021:23 | 2022:23 | 2023:70 | 2024:70,cambio_sostenido,2023,23,70
140429,5,2,2019:11 | 2020:11 | 2021:11 | 2023:11 | 2024:25,cambio_sostenido,2024,11,25
140631,3,2,2017:11 | 2018:11 | 2019:25,cambio_sostenido,2019,11,25
140707,4,2,2016:25 | 2017:25 | 2018:25 | 2019:11,cambio_sostenido,2019,25,11
140742,9,2,2016:11 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2017,11,25
140744,9,2,2016:68 | 2017:68 | 2018:68 | 2019:68 | 2020:68 | 2021:11 | 2022:11 | 2023:11 | 2024:11,cambio_sostenido,2021,68,11
140749,9,2,2016:11 | 2017:11 | 2018:15 | 2019:15 | 2020:15 | 2021:15 | 2022:15 | 2023:15 | 2024:15,cambio_sostenido,2018,11,15
140820,9,2,2016:73 | 2017:73 | 2018:73 | 2019:73 | 2020:73 | 2021:73 | 2022:41 | 2023:41 | 2024:41,cambio_sostenido,2022,73,41
141064,10,2,2015:76 | 2016:76 | 2017:19 | 2018:19 | 2019:19 | 2020:19 | 2021:19 | 2022:19 | 2023:19 | 2024:19,cambio_sostenido,2017,76,19
141072,10,2,2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:11 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,salto_aislado,2019,25,11
