NORDEMP,ANIO_t,ANIO_t1,NORDEST_desaparece,NORDEST_aparece,CIIU4_desaparece,CIIU4_aparece,PERTOTAL_desaparece,PERTOTAL_aparece,mismo_ciiu4,razon_tamano,tamano_similar,candidato_recodificacion
142338,2012,2013,142198,367524,5819,NA,49,495,FALSE,0.09898989898989899,FALSE,FALSE
143524,2017,2018,143440,867619,1921,3290,627,411,FALSE,0.6555023923444976,TRUE,FALSE
143527,2012,2013,142182,142111,2323,NA,5,8,FALSE,0.625,TRUE,FALSE
145424,2022,2023,145341,140161,1081,1081,87,16,TRUE,0.1839080459770115,FALSE,FALSE
147526,2018,2019,141604,146434,2229,2229,37,19,TRUE,0.5135135135135135,TRUE,TRUE
367103,2013,2014,367061,141610,NA,1081,12,32,FALSE,0.375,FALSE,FALSE
865773,2011,2012,865623,146540,NA,1011,21,54,FALSE,0.3888888888888889,FALSE,FALSE
867346,2008,2009,865627,976029,NA,NA,802,801,FALSE,0.9987531172069826,TRUE,FALSE
978435,2018,2019,140534,142052,1051,1051,77,52,TRUE,0.6753246753246753,TRUE,TRUE
978435,2022,2023,978036,140264,1051,1089,28,3,FALSE,0.10714285714285714,FALSE,FALSE
979317,2015,2016,141049,977846,1040,1082,83,409,FALSE,0.20293398533007334,FALSE,FALSE
982079,2016,2017,140720,147127,3290,3290,260,289,TRUE,0.8996539792387543,TRUE,TRUE
983962,2022,2023,983923,140429,2310,2310,104,99,TRUE,0.9519230769230769,TRUE,TRUE
984281,2017,2018,867619,143440,1921,1921,303,657,TRUE,0.4611872146118721,FALSE,FALSE
986575,2012,2013,977954,986765,1040,NA,41,101,FALSE,0.40594059405940597,FALSE,FALSE
