CIIU4,n_firmas,exposure_promedio
1072,8,0.8839
1012,6,0.8667
2392,106,0.8155
1523,29,0.8018
1522,37,0.7952
1311,11,0.7932
1640,21,0.791
2393,4,0.7867
1512,22,0.7792
1511,20,0.7664
1394,9,0.7607
1313,39,0.7533
2391,11,0.7461
1430,18,0.7457
1521,72,0.7388
1610,30,0.736
2395,77,0.7243
1690,27,0.7229
1084,7,0.7217
2815,3,0.7143
3092,4,0.7024
2592,50,0.6938
2910,3,0.6912
2396,6,0.6855
2930,76,0.684
1630,23,0.6838
1391,25,0.6799
2310,51,0.6771
1392,48,0.6717
3110,227,0.6689
2511,130,0.6675
2513,4,0.6673
3240,15,0.6665
2229,356,0.6628
1410,615,0.6601
1399,54,0.6588
1033,3,0.6581
1011,137,0.6543
1312,23,0.6497
1910,11,0.6465
2720,4,0.6464
2750,15,0.6463
2593,29,0.646
1702,44,0.6454
1103,6,0.6381
2599,222,0.6366
1082,34,0.6365
3011,6,0.6345
1701,26,0.6256
2399,51,0.6229
2394,22,0.6228
3099,4,0.6223
2219,49,0.6162
1020,40,0.616
2410,75,0.6157
3091,16,0.6156
2429,31,0.6136
1393,5,0.6133
2221,134,0.6126
2512,17,0.6084
2920,42,0.6055
1031,33,0.6051
1811,298,0.6012
2740,18,0.5953
2821,22,0.5913
2829,62,0.5908
1081,346,0.5891
2790,49,0.5851
1709,48,0.5841
1071,13,0.5741
1040,114,0.5715
1089,244,0.564
1083,4,0.5608
2711,16,0.5608
3290,483,0.5562
2012,32,0.5551
1513,9,0.5512
2816,17,0.5486
2732,21,0.5482
1052,3,0.5451
1090,45,0.5379
3120,23,0.5375
1620,3,0.5333
2819,106,0.5277
2813,22,0.5269
1051,91,0.5245
2825,19,0.5186
3250,54,0.5065
2011,62,0.5019
3230,8,0.4864
1061,27,0.486
1812,14,0.4836
2824,12,0.4798
1032,17,0.4646
2023,160,0.4607
2022,64,0.451
3012,3,0.4468
2814,9,0.44
1102,8,0.427
1062,17,0.422
2822,10,0.419
2212,13,0.4184
1104,37,0.4131
2029,127,0.4041
2021,24,0.4022
2421,4,0.39
2712,22,0.3837
2100,163,0.3661
2013,16,0.3503
1921,37,0.3463
3211,5,0.3
1101,3,0.2927
1922,10,0.2175
