termino,anio,beta,ee,ic_inf,ic_sup,muestra,outcome,medida
ANIO_F::2015:exposure_de,2015,-2.01641987771158,1.4788972680469918,-4.915058523083683,0.882218767660524,completa,empleo_total,exposure_de
ANIO_F::2016:exposure_de,2016,-4.01075678506116,1.2351519226274266,-6.431654553410915,-1.589859016711404,completa,empleo_total,exposure_de
ANIO_F::2017:exposure_de,2017,-4.080447805850165,1.1907247266965653,-6.414268270175432,-1.746627341524897,completa,empleo_total,exposure_de
ANIO_F::2018:exposure_de,2018,-2.7179283327984436,0.9767723803306699,-4.632402198246557,-0.8034544673503305,completa,empleo_total,exposure_de
ANIO_F::2019:exposure_de,2019,-2.2415930430793414,1.0072326987699662,-4.215769132668475,-0.26741695349020755,completa,empleo_total,exposure_de
ANIO_F::2021:exposure_de,2021,-0.26999944551417654,0.55349133027041,-1.35484245284418,0.814843561815827,completa,empleo_total,exposure_de
referencia,2022,0,0,0,0,completa,empleo_total,exposure_de
ANIO_F::2023:exposure_de,2023,-0.5525873708103113,0.6463267836499642,-1.8193878667642411,0.7142131251436186,completa,empleo_total,exposure_de
ANIO_F::2024:exposure_de,2024,-0.30750217563878657,1.1700147079098921,-2.600731003142175,1.985726651864602,completa,empleo_total,exposure_de
ANIO_F::2015:bite_de,2015,1.052535240649045,2.0289001093874317,-2.924108973750321,5.029179455048411,completa,empleo_total,bite_de
ANIO_F::2016:bite_de,2016,0.378336124393154,2.2421631319075095,-4.016303614145565,4.772975862931872,completa,empleo_total,bite_de
ANIO_F::2017:bite_de,2017,1.3298169751168452,2.106276704320019,-2.798485365350392,5.458119315584082,completa,empleo_total,bite_de
ANIO_F::2018:bite_de,2018,1.047950729801557,1.8432026327731341,-2.564726430433786,4.6606278900369,completa,empleo_total,bite_de
ANIO_F::2019:bite_de,2019,0.7898813369087285,1.5487773925775143,-2.2457223525431997,3.8254850263606563,completa,empleo_total,bite_de
ANIO_F::2021:bite_de,2021,1.0561001298043362,1.330568853723554,-1.5518148234938296,3.664015083102502,completa,empleo_total,bite_de
referencia,2022,0,0,0,0,completa,empleo_total,bite_de
ANIO_F::2023:bite_de,2023,-1.0351632074325685,1.4046308306275848,-3.7882396354626344,1.7179132205974976,completa,empleo_total,bite_de
ANIO_F::2024:bite_de,2024,-0.809138729640801,1.6228159105850983,-3.989857914387594,2.371580455105992,completa,empleo_total,bite_de
