ANIO,quintil,participacion_permanente_media,n_firmas,medida
2015,Q1 - Muy baja,70.50170657740901,1169,Exposure2022_obreros
2015,Q2 - Baja,68.79704733180394,1185,Exposure2022_obreros
2015,Q3 - Media,66.57616426858267,1165,Exposure2022_obreros
2015,Q4 - Alta,64.04344049195348,1154,Exposure2022_obreros
2015,Q5 - Muy alta,60.22825841310633,1134,Exposure2022_obreros
2016,Q1 - Muy baja,70.75059906967024,1185,Exposure2022_obreros
2016,Q2 - Baja,68.89131342401542,1201,Exposure2022_obreros
2016,Q3 - Media,67.16754873106174,1191,Exposure2022_obreros
2016,Q4 - Alta,63.71387433896299,1190,Exposure2022_obreros
2016,Q5 - Muy alta,60.232844570633546,1189,Exposure2022_obreros
2017,Q1 - Muy baja,70.84490061531254,1198,Exposure2022_obreros
2017,Q2 - Baja,68.69226800676215,1210,Exposure2022_obreros
2017,Q3 - Media,67.91020512448027,1202,Exposure2022_obreros
2017,Q4 - Alta,64.0127508378659,1204,Exposure2022_obreros
2017,Q5 - Muy alta,60.646525561464365,1206,Exposure2022_obreros
2018,Q1 - Muy baja,71.2045042266107,1210,Exposure2022_obreros
2018,Q2 - Baja,68.62461770987765,1211,Exposure2022_obreros
2018,Q3 - Media,66.88057496130666,1216,Exposure2022_obreros
2018,Q4 - Alta,64.17227930956199,1216,Exposure2022_obreros
2018,Q5 - Muy alta,60.09389217727714,1220,Exposure2022_obreros
2019,Q1 - Muy baja,71.19596960401542,1210,Exposure2022_obreros
2019,Q2 - Baja,67.31732601023917,1214,Exposure2022_obreros
2019,Q3 - Media,67.82794946483267,1212,Exposure2022_obreros
2019,Q4 - Alta,63.91527464578732,1218,Exposure2022_obreros
2019,Q5 - Muy alta,59.2361338706115,1218,Exposure2022_obreros
2015,Q1 - Muy baja,65.76512919828319,965,Bite2022_obreros
2015,Q2 - Baja,69.94964082091244,961,Bite2022_obreros
2015,Q3 - Media,73.24693170917162,971,Bite2022_obreros
2015,Q4 - Alta,74.50798694858945,959,Bite2022_obreros
2015,Q5 - Muy alta,75.11262931336866,950,Bite2022_obreros
2016,Q1 - Muy baja,66.00727744766554,979,Bite2022_obreros
2016,Q2 - Baja,70.81429681586175,982,Bite2022_obreros
2016,Q3 - Media,74.48439801563023,986,Bite2022_obreros
2016,Q4 - Alta,74.13882205764034,985,Bite2022_obreros
2016,Q5 - Muy alta,75.79839304043449,985,Bite2022_obreros
2017,Q1 - Muy baja,65.37576155092941,991,Bite2022_obreros
2017,Q2 - Baja,71.07663926143536,993,Bite2022_obreros
2017,Q3 - Media,75.0508863412292,997,Bite2022_obreros
2017,Q4 - Alta,76.31647378723652,992,Bite2022_obreros
2017,Q5 - Muy alta,76.25114183341354,995,Bite2022_obreros
2018,Q1 - Muy baja,64.95690596027106,1000,Bite2022_obreros
2018,Q2 - Baja,71.34664971080171,1000,Bite2022_obreros
2018,Q3 - Media,74.74069992998709,1004,Bite2022_obreros
2018,Q4 - Alta,77.29018836214688,999,Bite2022_obreros
2018,Q5 - Muy alta,77.95495599076725,1007,Bite2022_obreros
2019,Q1 - Muy baja,64.13702416228875,1001,Bite2022_obreros
2019,Q2 - Baja,70.58903299891234,1002,Bite2022_obreros
2019,Q3 - Media,75.51941182876759,1005,Bite2022_obreros
2019,Q4 - Alta,78.56573827339143,1004,Bite2022_obreros
2019,Q5 - Muy alta,78.92190521928462,998,Bite2022_obreros
